epoch	train_loss	dev_loss	dev_uuas
0	1.261903	2.258444	0.0899
1	1.237960	2.721479	0.0914
2	1.157502	2.983373	0.0895
3	1.137370	3.025197	0.0899
4	1.134283	3.028881	0.0901
5	1.133898	3.029262	0.0901
