epoch	train_loss	dev_loss	dev_uuas
0	0.956487	0.930066	0.6698
1	0.939532	0.927878	0.6586
2	0.939222	0.922916	0.6510
3	0.940542	0.916175	0.6594
4	0.939283	0.927688	0.6531
5	0.819169	0.788393	0.7941
6	0.797576	0.783047	0.7960
7	0.794320	0.783133	0.7989
8	0.779538	0.772807	0.8039
9	0.776569	0.771484	0.8051
10	0.775783	0.771274	0.8050
11	0.775418	0.770901	0.8052
12	0.775172	0.770862	0.8049
13	0.773032	0.770525	0.8055
14	0.772856	0.770421	0.8051
15	0.772795	0.770312	0.8051
16	0.772751	0.770255	0.8053
17	0.772471	0.770258	0.8053
18	0.772437	0.770258	0.8053
19	0.772436	0.770258	0.8052
20	0.772436	0.770257	0.8052
