epoch	train_loss	dev_loss	dev_uuas
0	1.060677	1.046131	0.5413
1	1.043277	1.039041	0.5369
2	1.042003	1.021984	0.5553
3	1.041988	1.048243	0.5280
4	0.935145	0.907768	0.6837
5	0.916382	0.907191	0.6875
6	0.913435	0.905682	0.6878
7	0.912247	0.902852	0.6867
8	0.911538	0.904904	0.6906
9	0.898614	0.894321	0.6959
10	0.895954	0.893432	0.6963
11	0.895342	0.893122	0.6957
12	0.895076	0.892984	0.6953
13	0.894913	0.892832	0.6960
14	0.894774	0.892697	0.6964
15	0.894699	0.892510	0.6969
16	0.894627	0.892679	0.6959
17	0.892785	0.892272	0.6958
18	0.892612	0.892187	0.6959
19	0.892333	0.892183	0.6957
20	0.892325	0.892182	0.6958
21	0.892296	0.892181	0.6958
22	0.892296	0.892181	0.6957
