epoch	relation	uuas	correct	total
0	acomp	0.8125	39	48
0	advcl	0.1229	36	293
0	advmod	0.6951	887	1276
0	amod	0.7558	1894	2506
0	appos	0.5072	140	276
0	aux	0.6976	865	1240
0	auxpass	0.8077	231	286
0	cc	0.4407	442	1003
0	ccomp	0.4919	272	553
0	conj	0.4836	488	1009
0	cop	0.6515	215	330
0	csubj	0.3333	5	15
0	csubjpass	1.0000	1	1
0	dep	0.4504	254	564
0	det	0.6784	2257	3327
0	discourse	0.5714	4	7
0	dobj	0.7746	1268	1637
0	expl	0.8750	28	32
0	iobj	0.5556	10	18
0	mark	0.4394	185	421
0	mwe	0.9804	50	51
0	neg	0.5477	109	199
0	nn	0.6955	2245	3228
0	npadvmod	0.7407	140	189
0	nsubj	0.6723	1869	2780
0	nsubjpass	0.6364	161	253
0	num	0.8110	931	1148
0	number	0.6629	297	448
0	parataxis	0.2143	12	56
0	pcomp	0.8029	167	208
0	pobj	0.6841	2562	3745
0	poss	0.5712	405	709
0	possessive	0.2682	114	425
0	preconj	0.4545	5	11
0	predet	0.9286	13	14
0	prep	0.7039	2663	3783
0	prt	0.9397	109	116
0	quantmod	0.5208	100	192
0	rcmod	0.3621	105	290
0	tmod	0.5861	143	244
0	vmod	0.6471	231	357
0	xcomp	0.7362	293	398
1	acomp	0.8750	42	48
1	advcl	0.1092	32	293
1	advmod	0.6818	870	1276
1	amod	0.7462	1870	2506
1	appos	0.5471	151	276
1	aux	0.6984	866	1240
1	auxpass	0.7413	212	286
1	cc	0.4068	408	1003
1	ccomp	0.5081	281	553
1	conj	0.5084	513	1009
1	cop	0.5273	174	330
1	csubj	0.7333	11	15
1	csubjpass	1.0000	1	1
1	dep	0.4397	248	564
1	det	0.7631	2539	3327
1	discourse	0.5714	4	7
1	dobj	0.7544	1235	1637
1	expl	0.9062	29	32
1	iobj	0.7222	13	18
1	mark	0.4418	186	421
1	mwe	1.0000	51	51
1	neg	0.6633	132	199
1	nn	0.7051	2276	3228
1	npadvmod	0.6825	129	189
1	nsubj	0.6741	1874	2780
1	nsubjpass	0.6838	173	253
1	num	0.7918	909	1148
1	number	0.8192	367	448
1	parataxis	0.2321	13	56
1	pcomp	0.7404	154	208
1	pobj	0.6756	2530	3745
1	poss	0.5176	367	709
1	possessive	0.3812	162	425
1	preconj	0.4545	5	11
1	predet	0.5714	8	14
1	prep	0.7098	2685	3783
1	prt	0.9310	108	116
1	quantmod	0.5469	105	192
1	rcmod	0.3207	93	290
1	tmod	0.5615	137	244
1	vmod	0.5966	213	357
1	xcomp	0.7161	285	398
2	acomp	0.8333	40	48
2	advcl	0.1126	33	293
2	advmod	0.6912	882	1276
2	amod	0.7534	1888	2506
2	appos	0.4674	129	276
2	aux	0.6871	852	1240
2	auxpass	0.8112	232	286
2	cc	0.3988	400	1003
2	ccomp	0.5099	282	553
2	conj	0.5233	528	1009
2	cop	0.6061	200	330
2	csubj	0.4000	6	15
2	csubjpass	0.0000	0	1
2	dep	0.4397	248	564
2	det	0.6895	2294	3327
2	discourse	0.7143	5	7
2	dobj	0.7819	1280	1637
2	expl	0.9375	30	32
2	iobj	0.5556	10	18
2	mark	0.4561	192	421
2	mwe	1.0000	51	51
2	neg	0.6382	127	199
2	nn	0.7196	2323	3228
2	npadvmod	0.7354	139	189
2	nsubj	0.6626	1842	2780
2	nsubjpass	0.6443	163	253
2	num	0.7883	905	1148
2	number	0.7924	355	448
2	parataxis	0.3036	17	56
2	pcomp	0.7740	161	208
2	pobj	0.6598	2471	3745
2	poss	0.5247	372	709
2	possessive	0.3200	136	425
2	preconj	0.6364	7	11
2	predet	0.5000	7	14
2	prep	0.7074	2676	3783
2	prt	0.9052	105	116
2	quantmod	0.4948	95	192
2	rcmod	0.3241	94	290
2	tmod	0.6393	156	244
2	vmod	0.5826	208	357
2	xcomp	0.6482	258	398
3	acomp	0.8958	43	48
3	advcl	0.1160	34	293
3	advmod	0.6677	852	1276
3	amod	0.7378	1849	2506
3	appos	0.4855	134	276
3	aux	0.6944	861	1240
3	auxpass	0.7797	223	286
3	cc	0.4367	438	1003
3	ccomp	0.4828	267	553
3	conj	0.4797	484	1009
3	cop	0.5970	197	330
3	csubj	0.7333	11	15
3	csubjpass	0.0000	0	1
3	dep	0.4504	254	564
3	det	0.7136	2374	3327
3	discourse	0.1429	1	7
3	dobj	0.7581	1241	1637
3	expl	0.8438	27	32
3	iobj	0.4444	8	18
3	mark	0.4466	188	421
3	mwe	1.0000	51	51
3	neg	0.5729	114	199
3	nn	0.7119	2298	3228
3	npadvmod	0.6614	125	189
3	nsubj	0.6640	1846	2780
3	nsubjpass	0.6640	168	253
3	num	0.8023	921	1148
3	number	0.7478	335	448
3	parataxis	0.2321	13	56
3	pcomp	0.7885	164	208
3	pobj	0.6927	2594	3745
3	poss	0.5628	399	709
3	possessive	0.3412	145	425
3	preconj	0.0909	1	11
3	predet	0.7143	10	14
3	prep	0.7209	2727	3783
3	prt	0.8966	104	116
3	quantmod	0.4844	93	192
3	rcmod	0.3552	103	290
3	tmod	0.5533	135	244
3	vmod	0.6050	216	357
3	xcomp	0.6633	264	398
4	acomp	0.8125	39	48
4	advcl	0.1092	32	293
4	advmod	0.6810	869	1276
4	amod	0.7382	1850	2506
4	appos	0.4710	130	276
4	aux	0.7161	888	1240
4	auxpass	0.8042	230	286
4	cc	0.4048	406	1003
4	ccomp	0.4521	250	553
4	conj	0.5094	514	1009
4	cop	0.5697	188	330
4	csubj	0.5333	8	15
4	csubjpass	0.0000	0	1
4	dep	0.4326	244	564
4	det	0.7244	2410	3327
4	discourse	0.2857	2	7
4	dobj	0.7605	1245	1637
4	expl	0.7812	25	32
4	iobj	0.6667	12	18
4	mark	0.4632	195	421
4	mwe	0.9804	50	51
4	neg	0.5678	113	199
4	nn	0.7054	2277	3228
4	npadvmod	0.6349	120	189
4	nsubj	0.6604	1836	2780
4	nsubjpass	0.6719	170	253
4	num	0.7648	878	1148
4	number	0.8125	364	448
4	parataxis	0.1964	11	56
4	pcomp	0.8317	173	208
4	pobj	0.6571	2461	3745
4	poss	0.5698	404	709
4	possessive	0.3741	159	425
4	preconj	0.4545	5	11
4	predet	0.4286	6	14
4	prep	0.7169	2712	3783
4	prt	0.9483	110	116
4	quantmod	0.4844	93	192
4	rcmod	0.3172	92	290
4	tmod	0.6311	154	244
4	vmod	0.5714	204	357
4	xcomp	0.6432	256	398
5	acomp	0.8958	43	48
5	advcl	0.1672	49	293
5	advmod	0.7578	967	1276
5	amod	0.8113	2033	2506
5	appos	0.6196	171	276
5	aux	0.7903	980	1240
5	auxpass	0.9021	258	286
5	cc	0.5364	538	1003
5	ccomp	0.6582	364	553
5	conj	0.5352	540	1009
5	cop	0.6545	216	330
5	csubj	0.5333	8	15
5	csubjpass	0.0000	0	1
5	dep	0.5035	284	564
5	det	0.8046	2677	3327
5	discourse	0.5714	4	7
5	dobj	0.8491	1390	1637
5	expl	0.8438	27	32
5	iobj	0.9444	17	18
5	mark	0.5701	240	421
5	mwe	1.0000	51	51
5	neg	0.7387	147	199
5	nn	0.7488	2417	3228
5	npadvmod	0.8995	170	189
5	nsubj	0.7727	2148	2780
5	nsubjpass	0.8063	204	253
5	num	0.8868	1018	1148
5	number	0.8571	384	448
5	parataxis	0.2679	15	56
5	pcomp	0.8750	182	208
5	pobj	0.8139	3048	3745
5	poss	0.6107	433	709
5	possessive	0.4188	178	425
5	preconj	0.4545	5	11
5	predet	0.6429	9	14
5	prep	0.7793	2948	3783
5	prt	0.9569	111	116
5	quantmod	0.5417	104	192
5	rcmod	0.4310	125	290
5	tmod	0.7049	172	244
5	vmod	0.6975	249	357
5	xcomp	0.8266	329	398
6	acomp	0.8958	43	48
6	advcl	0.1604	47	293
6	advmod	0.7429	948	1276
6	amod	0.8224	2061	2506
6	appos	0.6159	170	276
6	aux	0.8008	993	1240
6	auxpass	0.9266	265	286
6	cc	0.5384	540	1003
6	ccomp	0.6745	373	553
6	conj	0.5282	533	1009
6	cop	0.6697	221	330
6	csubj	0.6000	9	15
6	csubjpass	0.0000	0	1
6	dep	0.5053	285	564
6	det	0.8070	2685	3327
6	discourse	0.4286	3	7
6	dobj	0.8619	1411	1637
6	expl	0.8438	27	32
6	iobj	0.8333	15	18
6	mark	0.5582	235	421
6	mwe	1.0000	51	51
6	neg	0.7688	153	199
6	nn	0.7525	2429	3228
6	npadvmod	0.9048	171	189
6	nsubj	0.7820	2174	2780
6	nsubjpass	0.7747	196	253
6	num	0.8720	1001	1148
6	number	0.8549	383	448
6	parataxis	0.2500	14	56
6	pcomp	0.8702	181	208
6	pobj	0.8184	3065	3745
6	poss	0.6291	446	709
6	possessive	0.4471	190	425
6	preconj	0.4545	5	11
6	predet	0.6429	9	14
6	prep	0.7909	2992	3783
6	prt	0.9569	111	116
6	quantmod	0.5625	108	192
6	rcmod	0.4138	120	290
6	tmod	0.7008	171	244
6	vmod	0.7003	250	357
6	xcomp	0.8191	326	398
7	acomp	0.9167	44	48
7	advcl	0.1638	48	293
7	advmod	0.7508	958	1276
7	amod	0.8192	2053	2506
7	appos	0.6123	169	276
7	aux	0.8169	1013	1240
7	auxpass	0.9196	263	286
7	cc	0.5374	539	1003
7	ccomp	0.6817	377	553
7	conj	0.5173	522	1009
7	cop	0.6697	221	330
7	csubj	0.6000	9	15
7	csubjpass	0.0000	0	1
7	dep	0.4911	277	564
7	det	0.8157	2714	3327
7	discourse	0.5714	4	7
7	dobj	0.8442	1382	1637
7	expl	0.8125	26	32
7	iobj	0.8889	16	18
7	mark	0.5558	234	421
7	mwe	1.0000	51	51
7	neg	0.7538	150	199
7	nn	0.7503	2422	3228
7	npadvmod	0.9048	171	189
7	nsubj	0.7853	2183	2780
7	nsubjpass	0.8024	203	253
7	num	0.8798	1010	1148
7	number	0.8728	391	448
7	parataxis	0.3393	19	56
7	pcomp	0.8750	182	208
7	pobj	0.8142	3049	3745
7	poss	0.6065	430	709
7	possessive	0.4565	194	425
7	preconj	0.4545	5	11
7	predet	0.7143	10	14
7	prep	0.7962	3012	3783
7	prt	0.9569	111	116
7	quantmod	0.5260	101	192
7	rcmod	0.3966	115	290
7	tmod	0.7418	181	244
7	vmod	0.7003	250	357
7	xcomp	0.8367	333	398
8	acomp	0.9167	44	48
8	advcl	0.1604	47	293
8	advmod	0.7500	957	1276
8	amod	0.8264	2071	2506
8	appos	0.6413	177	276
8	aux	0.8113	1006	1240
8	auxpass	0.9266	265	286
8	cc	0.5464	548	1003
8	ccomp	0.6799	376	553
8	conj	0.5164	521	1009
8	cop	0.6727	222	330
8	csubj	0.6667	10	15
8	csubjpass	0.0000	0	1
8	dep	0.5000	282	564
8	det	0.8157	2714	3327
8	discourse	0.5714	4	7
8	dobj	0.8595	1407	1637
8	expl	0.8125	26	32
8	iobj	0.8889	16	18
8	mark	0.5748	242	421
8	mwe	1.0000	51	51
8	neg	0.7789	155	199
8	nn	0.7553	2438	3228
8	npadvmod	0.8995	170	189
8	nsubj	0.7910	2199	2780
8	nsubjpass	0.7866	199	253
8	num	0.8859	1017	1148
8	number	0.8683	389	448
8	parataxis	0.3393	19	56
8	pcomp	0.8750	182	208
8	pobj	0.8272	3098	3745
8	poss	0.6206	440	709
8	possessive	0.4753	202	425
8	preconj	0.4545	5	11
8	predet	0.7857	11	14
8	prep	0.7933	3001	3783
8	prt	0.9655	112	116
8	quantmod	0.5469	105	192
8	rcmod	0.4138	120	290
8	tmod	0.7500	183	244
8	vmod	0.7087	253	357
8	xcomp	0.8291	330	398
9	acomp	0.9167	44	48
9	advcl	0.1638	48	293
9	advmod	0.7492	956	1276
9	amod	0.8276	2074	2506
9	appos	0.6341	175	276
9	aux	0.8121	1007	1240
9	auxpass	0.9266	265	286
9	cc	0.5474	549	1003
9	ccomp	0.6799	376	553
9	conj	0.5213	526	1009
9	cop	0.6727	222	330
9	csubj	0.6667	10	15
9	csubjpass	0.0000	0	1
9	dep	0.5035	284	564
9	det	0.8139	2708	3327
9	discourse	0.5714	4	7
9	dobj	0.8583	1405	1637
9	expl	0.8125	26	32
9	iobj	0.8333	15	18
9	mark	0.5724	241	421
9	mwe	1.0000	51	51
9	neg	0.7688	153	199
9	nn	0.7537	2433	3228
9	npadvmod	0.8995	170	189
9	nsubj	0.7871	2188	2780
9	nsubjpass	0.7905	200	253
9	num	0.8807	1011	1148
9	number	0.8616	386	448
9	parataxis	0.3036	17	56
9	pcomp	0.8750	182	208
9	pobj	0.8278	3100	3745
9	poss	0.6150	436	709
9	possessive	0.4659	198	425
9	preconj	0.4545	5	11
9	predet	0.7143	10	14
9	prep	0.7949	3007	3783
9	prt	0.9569	111	116
9	quantmod	0.5521	106	192
