epoch	train_loss	dev_loss	dev_uuas
0	0.993999	0.953531	0.6429
1	0.962465	0.957752	0.6424
2	0.866569	0.842843	0.7389
3	0.845189	0.838365	0.7426
4	0.841260	0.835937	0.7445
5	0.839901	0.835266	0.7427
6	0.839297	0.834504	0.7440
7	0.838798	0.834469	0.7426
8	0.826591	0.827425	0.7465
9	0.824325	0.826780	0.7473
10	0.823804	0.826965	0.7479
11	0.821840	0.826541	0.7476
12	0.821698	0.826557	0.7480
13	0.821440	0.826533	0.7481
14	0.821412	0.826531	0.7481
15	0.821411	0.826529	0.7481
16	0.821411	0.826528	0.7481
