epoch	train_loss	dev_loss	dev_uuas
0	1.108410	1.072310	0.5145
1	1.086759	1.075969	0.5098
2	0.987922	0.964324	0.6330
3	0.971552	0.963386	0.6358
4	0.968444	0.960813	0.6392
5	0.967067	0.959601	0.6359
6	0.966470	0.958846	0.6366
7	0.965978	0.959010	0.6362
8	0.954141	0.950484	0.6421
9	0.951663	0.949798	0.6412
10	0.951096	0.949090	0.6417
11	0.950881	0.949038	0.6413
12	0.949031	0.948734	0.6416
13	0.948883	0.948623	0.6418
14	0.948829	0.948586	0.6420
15	0.948585	0.948579	0.6421
16	0.948557	0.948579	0.6421
17	0.948556	0.948578	0.6421
18	0.948556	0.948578	0.6421
