checkpoint,relation,n_points,slope,intercept,R2,p_value,slope_se,rmse
7,appos,11,-0.3361,0.8842,0.8646,3.393545226617357e-05,0.0443,0.0945
7,aux,5,-0.5405,1.0593,0.8499,0.025891212275257744,0.1311,0.1291
7,auxpass,3,-0.31,0.9845,0.8885,0.2167423667141771,0.1098,0.0498
7,cc,20,-0.1325,0.54,0.4851,0.000645655987410959,0.0322,0.1082
7,ccomp,25,-0.2014,0.846,0.3951,0.0007647802769164694,0.052,0.1724
7,conj,21,-0.2771,0.7823,0.8865,2.01176349834159e-10,0.0228,0.0658
7,cop,5,-0.3996,0.9579,0.9628,0.003082416285014291,0.0454,0.0447
7,csubj,1,,,,,,
7,dep,15,-0.2872,0.8113,0.8784,2.58414755540822e-07,0.0296,0.0807
7,det,8,-0.4079,0.8037,0.9414,6.415571141579301e-05,0.0415,0.0669
7,discourse,0,,,,,,
7,dobj,10,-0.3916,1.0503,0.8774,6.49810924752551e-05,0.0517,0.1067
7,expl,1,,,,,,
7,iobj,2,,,,,,
7,mark,15,-0.3909,0.9589,0.9441,1.6131833687919883e-09,0.0264,0.0719
7,mwe,1,,,,,,
7,neg,4,-0.4789,0.9112,0.9245,0.038515616711324314,0.0968,0.0713
7,nn,6,-0.4014,0.7337,0.849,0.00902666169819176,0.0847,0.1024
7,npadvmod,5,-0.4826,1.0879,0.7948,0.04218516402056842,0.1416,0.1394
7,nsubj,20,-0.2788,0.8032,0.8944,3.180296976631912e-10,0.0226,0.0759
7,nsubjpass,11,-0.3425,0.948,0.6696,0.0020778768029208914,0.0802,0.1482
7,num,5,-0.5416,0.962,0.8849,0.017178986040302276,0.1128,0.111
7,number,6,-0.4644,0.6982,0.8647,0.007205010656706853,0.0919,0.1111
7,parataxis,9,-0.5717,1.3773,0.8354,0.0005645037296078898,0.0959,0.1396
7,pcomp,5,-0.2822,1.0317,0.7225,0.0681655699503289,0.101,0.0994
7,pobj,8,-0.4067,1.0314,0.8808,0.0005544698601391375,0.0611,0.0984
7,poss,7,-0.3986,0.7335,0.897,0.0012008729356249978,0.0604,0.0856
7,possessive,2,,,,,,
7,preconj,2,,,,,,
7,predet,2,,,,,,
7,prep,21,-0.189,0.7249,0.659,7.908251814779687e-06,0.0312,0.1095
7,prt,2,,,,,,
7,quantmod,4,-0.4051,0.5967,0.7979,0.10675341078935398,0.1442,0.12
7,rcmod,12,-0.3969,0.932,0.8787,6.8234169659164585e-06,0.0466,0.0838
7,tmod,10,-0.4093,0.9653,0.8692,8.461152787343091e-05,0.0561,0.1156
7,vmod,16,-0.2824,0.8302,0.7665,8.89185823475353e-06,0.0417,0.1191
7,xcomp,10,-0.4908,1.1502,0.8955,3.407187234417882e-05,0.0593,0.1166
9,acomp,2,,,,,,
9,advcl,17,-0.2401,0.6916,0.7993,1.3105255526790074e-06,0.0311,0.0652
9,advmod,13,-0.2573,0.8863,0.7035,0.00033939277983664035,0.0504,0.1283
9,amod,7,-0.4181,0.8487,0.9583,0.0001221540736226376,0.039,0.0553
9,appos,11,-0.3556,0.8936,0.8532,4.903817281852306e-05,0.0492,0.1048
9,aux,5,-0.4918,1.0604,0.8845,0.01727672748599331,0.1026,0.101
9,auxpass,3,-0.1553,0.9753,0.9944,0.047621807083617324,0.0116,0.0053
9,cc,20,-0.0884,0.5454,0.173,0.06814373500406051,0.0455,0.153
9,ccomp,25,-0.2068,0.9137,0.5638,1.5308877829991494e-05,0.0379,0.1258
