checkpoint,relation,n_points,slope,intercept,R2,p_value,slope_se,rmse
19,det,8,-0.0342,0.8645,0.1794,0.2956345467167957,0.0299,0.0482
19,discourse,0,,,,,,
19,dobj,10,-0.1495,1.0168,0.5675,0.011881574068909767,0.0461,0.0951
19,expl,1,,,,,,
19,iobj,2,,,,,,
19,mark,15,-0.2058,0.9018,0.6813,0.0001509867376326894,0.039,0.1063
19,mwe,1,,,,,,
19,neg,4,-0.3921,0.9136,0.9736,0.013285676286293735,0.0456,0.0336
19,nn,6,-0.3481,0.8055,0.74,0.027948019329872422,0.1032,0.1248
19,npadvmod,5,-0.2603,1.0157,0.349,0.29418714363185144,0.2053,0.2021
19,nsubj,20,-0.1187,0.9021,0.4417,0.0013898722128803571,0.0314,0.1057
19,nsubjpass,11,-0.1814,1.0685,0.3994,0.03697637073339991,0.0742,0.1371
19,num,5,-0.2977,0.9937,0.7677,0.05131057814337669,0.0946,0.0931
19,number,6,-0.5536,0.8621,0.9341,0.0016648933853993843,0.0735,0.0889
19,parataxis,9,-0.4593,1.234,0.871,0.00023650269576374838,0.0668,0.0972
19,pcomp,5,-0.2697,0.9282,0.4913,0.1872506005490537,0.1584,0.156
19,pobj,8,-0.0712,0.9154,0.8474,0.0011798064007784274,0.0123,0.0199
19,poss,7,-0.2141,0.8558,0.5225,0.0664612028088404,0.0915,0.1298
19,possessive,2,,,,,,
19,preconj,2,,,,,,
19,predet,2,,,,,,
19,prep,21,-0.142,0.8663,0.4607,0.0007174341436580511,0.0352,0.1237
19,prt,2,,,,,,
19,quantmod,4,-0.3976,0.6552,0.9745,0.012850333595761262,0.0455,0.0379
19,rcmod,12,-0.3187,0.9751,0.6096,0.00272177672130079,0.0807,0.145
19,tmod,10,-0.153,0.8998,0.2555,0.13614949187333156,0.0924,0.1903
19,vmod,16,-0.1017,0.7703,0.1353,0.16092691697243214,0.0687,0.1965
19,xcomp,10,-0.2469,1.0866,0.6295,0.006158676434556674,0.067,0.1317
21,acomp,2,,,,,,
21,advcl,17,-0.1369,0.4724,0.54,0.0007791207613003069,0.0326,0.0685
21,advmod,13,-0.0872,0.7643,0.1631,0.17111460439859713,0.0595,0.1516
21,amod,7,-0.1454,0.8302,0.6108,0.03793653149009186,0.0519,0.0736
21,appos,11,-0.3541,1.1094,0.6981,0.001363143700235614,0.0776,0.1655
21,aux,5,-0.4743,0.9538,0.9835,0.0009077589979278352,0.0355,0.035
21,auxpass,3,-0.0477,0.9214,0.2754,0.648301383826567,0.0774,0.0351
21,cc,20,-0.0955,0.6353,0.2271,0.03362975868119415,0.0415,0.1396
21,ccomp,25,-0.0924,0.8248,0.1772,0.03610855453259832,0.0415,0.1377
21,conj,21,-0.2889,0.9115,0.8401,5.3478796665404795e-09,0.0289,0.0837
21,cop,5,-0.3219,0.9281,0.997,6.978974532827802e-05,0.0102,0.01
21,csubj,1,,,,,,
21,dep,15,-0.2339,0.7686,0.6949,0.00011277522853920326,0.043,0.1171
21,det,8,-0.0604,0.8344,0.2539,0.20291509663951715,0.0423,0.0681
21,discourse,0,,,,,,
21,dobj,10,-0.1491,0.9946,0.2681,0.1252512092242285,0.0871,0.1796
21,expl,1,,,,,,
21,iobj,2,,,,,,
21,mark,15,-0.1855,0.8821,0.4375,0.0072479609690083,0.0583,0.1589
21,mwe,1,,,,,,
21,neg,4,-0.489,0.8334,0.9807,0.009713513597111477,0.0485,0.0357
21,nn,6,-0.3415,0.7896,0.7113,0.03486559097170108,0.1088,0.1316
21,npadvmod,5,-0.2644,1.0155,0.3826,0.26603237249511713,0.1939,0.1909
21,nsubj,20,-0.0971,0.842,0.403,0.0026373758253317708,0.0278,0.0936
21,nsubjpass,11,-0.1103,0.9485,0.4191,0.03129526309687808,0.0433,0.08
21,num,5,-0.2449,0.9644,0.6094,0.1191641925712266,0.1132,0.1114
21,number,6,-0.5601,0.8475,0.8743,0.006190002720684813,0.1062,0.1284
21,parataxis,9,-0.4805,1.3083,0.9055,7.834356952131878e-05,0.0587,0.0854
21,pcomp,5,-0.2412,0.9119,0.5228,0.16751454414089195,0.133,0.131
21,pobj,8,-0.0764,0.8873,0.7752,0.0038979807689347654,0.0168,0.0271
21,poss,7,-0.2864,0.869,0.8192,0.005061526681253239,0.0602,0.0853
21,possessive,2,,,,,,
21,preconj,2,,,,,,
21,predet,2,,,,,,
21,prep,21,-0.1304,0.8479,0.5208,0.00022202668996213496,0.0287,0.1007
21,prt,2,,,,,,
21,quantmod,4,-0.4339,0.5853,0.8669,0.0689366498279169,0.1202,0.1001
21,rcmod,12,-0.2994,0.9129,0.7047,0.0006368567269347011,0.0613,0.1101
21,tmod,10,-0.1455,0.869,0.1737,0.23077589034379306,0.1122,0.2312
21,vmod,16,-0.1029,0.7484,0.1218,0.18513978804940986,0.0738,0.2111
21,xcomp,10,-0.2173,1.0368,0.8435,0.00017527932943601956,0.0331,0.0651
23,acomp,2,,,,,,
23,advcl,17,-0.1687,0.5494,0.5629,0.0005224310935048624,0.0384,0.0806
23,advmod,13,-0.1078,0.7447,0.1941,0.1319072532767297,0.0662,0.1686
23,amod,7,-0.1475,0.8212,0.3632,0.15206125107832646,0.0873,0.1238
23,appos,11,-0.3532,1.0879,0.7594,0.0004744273048085016,0.0663,0.1412
23,aux,5,-0.476,0.911,0.9975,5.287240978096566e-05,0.0137,0.0135
23,auxpass,3,0.0656,0.8898,0.3227,0.6154037025968764,0.0951,0.0431
23,cc,20,-0.0821,0.6029,0.197,0.04993070597328049,0.0391,0.1313
23,ccomp,25,-0.0436,0.7246,0.0393,0.34194350978744087,0.045,0.1492
23,conj,21,-0.292,0.9225,0.7691,1.8175699039837973e-07,0.0367,0.1062
23,cop,5,-0.2919,0.8693,0.8383,0.029078092886901913,0.074,0.0729
23,csubj,1,,,,,,
23,dep,15,-0.2399,0.7589,0.7875,1.0211549103654742e-05,0.0346,0.0941
23,det,8,-0.0044,0.7595,0.0007,0.9514853950676696,0.0693,0.1116
23,discourse,0,,,,,,
23,dobj,10,-0.1574,0.9827,0.3759,0.059449600577202534,0.0717,0.1478
23,expl,1,,,,,,
23,iobj,2,,,,,,
23,mark,15,-0.1958,0.8301,0.5911,0.0008091799472891221,0.0452,0.123
23,mwe,1,,,,,,
23,neg,4,-0.515,0.8365,0.8835,0.060036554746773746,0.1322,0.0973
23,nn,6,-0.3651,0.7907,0.7658,0.0224348368184621,0.101,0.1222
23,npadvmod,5,-0.2088,0.9388,0.6478,0.10038820360501949,0.0889,0.0875
23,nsubj,20,-0.0996,0.8196,0.3073,0.011194220524129533,0.0352,0.1185
23,nsubjpass,11,-0.1351,0.9171,0.4273,0.029141671695364597,0.0521,0.0963
23,num,5,-0.3746,1.0138,0.7001,0.07725216780580593,0.1416,0.1394
23,number,6,-0.5683,0.8655,0.878,0.005829337154132605,0.1059,0.1282
23,parataxis,9,-0.4594,1.2124,0.7684,0.001923373100011391,0.0953,0.1388
23,pcomp,5,-0.1497,0.8151,0.28,0.3592111506291062,0.1386,0.1365
23,pobj,8,-0.0606,0.8553,0.7247,0.007329931975975208,0.0153,0.0246
23,poss,7,-0.2491,0.8098,0.7579,0.010778834267908982,0.0629,0.0892
23,possessive,2,,,,,,
23,preconj,2,,,,,,
23,predet,2,,,,,,
23,prep,21,-0.1153,0.8077,0.5151,0.00024939437387242266,0.0257,0.0901
23,prt,2,,,,,,
23,quantmod,4,-0.4412,0.6001,0.8804,0.06172569602056998,0.115,0.0957
23,rcmod,12,-0.3387,0.9336,0.7665,0.00019046685977709563,0.0591,0.1063
23,tmod,10,-0.1786,0.867,0.2911,0.10749280863734757,0.0985,0.203
23,vmod,16,-0.0854,0.739,0.0911,0.2559636780339887,0.0721,0.2062
23,xcomp,10,-0.2061,0.9694,0.7086,0.002255246947473601,0.0467,0.0919
25,acomp,2,,,,,,
25,advcl,17,-0.1912,0.5783,0.6469,9.936906557282426e-05,0.0365,0.0766
25,advmod,13,-0.0844,0.7119,0.1138,0.25962858479639894,0.071,0.1809
25,amod,7,-0.1958,0.8167,0.6596,0.02647448516422479,0.0629,0.0892
25,appos,11,-0.3763,1.0821,0.8115,0.0001541650376020873,0.0605,0.1288
25,aux,5,-0.4474,0.8874,0.9928,0.0002624861235677679,0.0221,0.0217
25,auxpass,3,-0.0996,0.9159,0.9742,0.10273034235465339,0.0162,0.0074
25,cc,20,-0.0496,0.5316,0.0762,0.23866084328318843,0.0407,0.1368
25,ccomp,25,-0.0324,0.6937,0.0149,0.5613575591022725,0.055,0.1823
25,conj,21,-0.2612,0.884,0.5967,4.065735014010545e-05,0.0493,0.1425
25,cop,5,-0.3249,0.8901,0.9664,0.0026394773780473997,0.035,0.0344
25,csubj,1,,,,,,
25,dep,15,-0.2353,0.7493,0.8314,2.2185674233085575e-06,0.0294,0.0801
25,det,8,-0.099,0.8087,0.5336,0.03957681458033571,0.0378,0.0609
25,discourse,0,,,,,,
25,dobj,10,-0.1293,0.9529,0.5115,0.02006003888736769,0.0447,0.0921
25,expl,1,,,,,,
25,iobj,2,,,,,,
25,mark,15,-0.1815,0.799,0.4498,0.006208744688594851,0.0557,0.1517
25,mwe,1,,,,,,
25,neg,4,-0.5829,0.8159,0.9968,0.0016109767001429851,0.0234,0.0172
25,nn,6,-0.3631,0.7848,0.7677,0.022041049465971383,0.0999,0.1208
25,npadvmod,5,-0.267,0.9211,0.5481,0.152503478234518,0.14,0.1378
25,nsubj,20,-0.0738,0.755,0.3031,0.01188780902863314,0.0264,0.0886
25,nsubjpass,11,-0.0749,0.8073,0.1363,0.2638990864966598,0.0628,0.1161
25,num,5,-0.3374,0.9693,0.661,0.09430597323670321,0.1395,0.1373
25,number,6,-0.554,0.8419,0.8775,0.005878172049848036,0.1035,0.1252
25,parataxis,9,-0.3528,1.0636,0.6895,0.005584946713041075,0.0895,0.1303
25,pcomp,5,-0.2695,0.9214,0.6136,0.11706571057187651,0.1235,0.1216
25,pobj,8,-0.0695,0.8422,0.5601,0.03269146238558639,0.0251,0.0405
25,poss,7,-0.2443,0.7778,0.764,0.010084976968644951,0.0607,0.0861
25,possessive,2,,,,,,
25,preconj,2,,,,,,
25,predet,2,,,,,,
25,prep,21,-0.1398,0.83,0.5256,0.0002007182700424467,0.0305,0.107
25,prt,2,,,,,,
25,quantmod,4,-0.3518,0.5523,0.9435,0.02865069128407071,0.0609,0.0507
25,rcmod,12,-0.3079,0.8448,0.6908,0.0008084131878684913,0.0651,0.1171
25,tmod,10,-0.1865,0.8704,0.3254,0.08510225807983864,0.095,0.1956
25,vmod,16,-0.0992,0.7554,0.1695,0.11303687537366314,0.0587,0.1677
25,xcomp,10,-0.1976,0.9987,0.8044,0.0004363373263618067,0.0345,0.0678
