epoch	relation	uuas	correct	total
0	acomp	0.8750	42	48
0	advcl	0.1468	43	293
0	advmod	0.6301	804	1276
0	amod	0.6417	1608	2506
0	appos	0.3623	100	276
0	aux	0.6903	856	1240
0	auxpass	0.7692	220	286
0	cc	0.3559	357	1003
0	ccomp	0.4340	240	553
0	conj	0.3925	396	1009
0	cop	0.6273	207	330
0	csubj	0.3333	5	15
0	csubjpass	1.0000	1	1
0	dep	0.4167	235	564
0	det	0.5332	1774	3327
0	discourse	0.4286	3	7
0	dobj	0.7489	1226	1637
0	expl	0.5312	17	32
0	iobj	0.6667	12	18
0	mark	0.3753	158	421
0	mwe	0.9412	48	51
0	neg	0.5377	107	199
0	nn	0.6329	2043	3228
0	npadvmod	0.7619	144	189
0	nsubj	0.5968	1659	2780
0	nsubjpass	0.4308	109	253
0	num	0.7779	893	1148
0	number	0.7656	343	448
0	parataxis	0.2679	15	56
0	pcomp	0.7212	150	208
0	pobj	0.6128	2295	3745
0	poss	0.3949	280	709
0	possessive	0.5129	218	425
0	preconj	0.2727	3	11
0	predet	0.4286	6	14
0	prep	0.5533	2093	3783
0	prt	0.8793	102	116
0	quantmod	0.5365	103	192
0	rcmod	0.3517	102	290
0	tmod	0.5861	143	244
0	vmod	0.4874	174	357
0	xcomp	0.6432	256	398
1	acomp	0.8958	43	48
1	advcl	0.0990	29	293
1	advmod	0.6027	769	1276
1	amod	0.6492	1627	2506
1	appos	0.3370	93	276
1	aux	0.6855	850	1240
1	auxpass	0.7867	225	286
1	cc	0.3699	371	1003
1	ccomp	0.3761	208	553
1	conj	0.3855	389	1009
1	cop	0.5515	182	330
1	csubj	0.2000	3	15
1	csubjpass	0.0000	0	1
1	dep	0.4131	233	564
1	det	0.5648	1879	3327
1	discourse	0.2857	2	7
1	dobj	0.7019	1149	1637
1	expl	0.5625	18	32
1	iobj	0.7778	14	18
1	mark	0.3943	166	421
1	mwe	0.9412	48	51
1	neg	0.6332	126	199
1	nn	0.6100	1969	3228
1	npadvmod	0.7619	144	189
1	nsubj	0.5802	1613	2780
1	nsubjpass	0.3992	101	253
1	num	0.7552	867	1148
1	number	0.6719	301	448
1	parataxis	0.2143	12	56
1	pcomp	0.7837	163	208
1	pobj	0.6758	2531	3745
1	poss	0.4062	288	709
1	possessive	0.5788	246	425
1	preconj	0.5455	6	11
1	predet	0.2857	4	14
1	prep	0.5971	2259	3783
1	prt	0.8276	96	116
1	quantmod	0.5469	105	192
1	rcmod	0.2448	71	290
1	tmod	0.4754	116	244
1	vmod	0.5154	184	357
1	xcomp	0.6508	259	398
2	acomp	0.8750	42	48
2	advcl	0.1945	57	293
2	advmod	0.7390	943	1276
2	amod	0.7833	1963	2506
2	appos	0.4384	121	276
2	aux	0.8919	1106	1240
2	auxpass	0.9685	277	286
2	cc	0.5055	507	1003
2	ccomp	0.5389	298	553
2	conj	0.4202	424	1009
2	cop	0.8091	267	330
2	csubj	0.3333	5	15
2	csubjpass	1.0000	1	1
2	dep	0.4787	270	564
2	det	0.7523	2503	3327
2	discourse	0.4286	3	7
2	dobj	0.8430	1380	1637
2	expl	0.9062	29	32
2	iobj	0.8333	15	18
2	mark	0.5154	217	421
2	mwe	0.9608	49	51
2	neg	0.8945	178	199
2	nn	0.7314	2361	3228
2	npadvmod	0.8730	165	189
2	nsubj	0.7176	1995	2780
2	nsubjpass	0.6008	152	253
2	num	0.8720	1001	1148
2	number	0.8817	395	448
2	parataxis	0.2679	15	56
2	pcomp	0.8942	186	208
2	pobj	0.8235	3084	3745
2	poss	0.4866	345	709
2	possessive	0.7694	327	425
2	preconj	0.5455	6	11
2	predet	0.2143	3	14
2	prep	0.7404	2801	3783
2	prt	0.9483	110	116
2	quantmod	0.5990	115	192
2	rcmod	0.4172	121	290
2	tmod	0.6475	158	244
2	vmod	0.5938	212	357
2	xcomp	0.7714	307	398
3	acomp	0.9583	46	48
3	advcl	0.1877	55	293
3	advmod	0.7445	950	1276
3	amod	0.7837	1964	2506
3	appos	0.4420	122	276
3	aux	0.9177	1138	1240
3	auxpass	0.9580	274	286
3	cc	0.5214	523	1003
3	ccomp	0.5353	296	553
3	conj	0.3994	403	1009
3	cop	0.8061	266	330
3	csubj	0.3333	5	15
3	csubjpass	1.0000	1	1
3	dep	0.4823	272	564
3	det	0.7457	2481	3327
3	discourse	0.2857	2	7
3	dobj	0.8381	1372	1637
3	expl	0.9062	29	32
3	iobj	0.8333	15	18
3	mark	0.5368	226	421
3	mwe	0.9804	50	51
3	neg	0.8593	171	199
3	nn	0.7361	2376	3228
3	npadvmod	0.8466	160	189
3	nsubj	0.7252	2016	2780
3	nsubjpass	0.6324	160	253
3	num	0.8824	1013	1148
3	number	0.8460	379	448
3	parataxis	0.2857	16	56
3	pcomp	0.8894	185	208
3	pobj	0.8323	3117	3745
3	poss	0.4528	321	709
3	possessive	0.8071	343	425
3	preconj	0.5455	6	11
3	predet	0.2857	4	14
3	prep	0.7452	2819	3783
3	prt	0.9655	112	116
3	quantmod	0.5833	112	192
3	rcmod	0.4414	128	290
3	tmod	0.6598	161	244
3	vmod	0.6106	218	357
3	xcomp	0.7588	302	398
4	acomp	0.9375	45	48
4	advcl	0.1741	51	293
4	advmod	0.7382	942	1276
4	amod	0.7721	1935	2506
4	appos	0.4420	122	276
4	aux	0.9145	1134	1240
4	auxpass	0.9580	274	286
4	cc	0.5065	508	1003
4	ccomp	0.5371	297	553
4	conj	0.4044	408	1009
4	cop	0.7909	261	330
4	csubj	0.3333	5	15
4	csubjpass	1.0000	1	1
4	dep	0.4947	279	564
4	det	0.7562	2516	3327
4	discourse	0.2857	2	7
4	dobj	0.8485	1389	1637
4	expl	0.9062	29	32
4	iobj	0.7778	14	18
4	mark	0.5321	224	421
4	mwe	0.9804	50	51
4	neg	0.8794	175	199
4	nn	0.7385	2384	3228
4	npadvmod	0.8942	169	189
4	nsubj	0.7147	1987	2780
4	nsubjpass	0.6285	159	253
4	num	0.8824	1013	1148
4	number	0.8862	397	448
4	parataxis	0.2857	16	56
4	pcomp	0.9135	190	208
4	pobj	0.8366	3133	3745
4	poss	0.4725	335	709
4	possessive	0.7929	337	425
4	preconj	0.6364	7	11
4	predet	0.2857	4	14
4	prep	0.7375	2790	3783
4	prt	0.9483	110	116
4	quantmod	0.6146	118	192
4	rcmod	0.4069	118	290
4	tmod	0.6803	166	244
4	vmod	0.6022	215	357
4	xcomp	0.7965	317	398
5	acomp	0.9167	44	48
5	advcl	0.1877	55	293
5	advmod	0.7351	938	1276
5	amod	0.7713	1933	2506
5	appos	0.4312	119	276
5	aux	0.9048	1122	1240
5	auxpass	0.9580	274	286
5	cc	0.5055	507	1003
5	ccomp	0.5371	297	553
5	conj	0.3984	402	1009
5	cop	0.7848	259	330
5	csubj	0.3333	5	15
5	csubjpass	1.0000	1	1
5	dep	0.4858	274	564
5	det	0.7499	2495	3327
5	discourse	0.4286	3	7
5	dobj	0.8503	1392	1637
5	expl	0.9062	29	32
5	iobj	0.8889	16	18
5	mark	0.5226	220	421
5	mwe	0.9804	50	51
5	neg	0.8995	179	199
5	nn	0.7379	2382	3228
5	npadvmod	0.8571	162	189
5	nsubj	0.7140	1985	2780
5	nsubjpass	0.6206	157	253
5	num	0.8728	1002	1148
5	number	0.8616	386	448
5	parataxis	0.3214	18	56
5	pcomp	0.9135	190	208
5	pobj	0.8286	3103	3745
5	poss	0.4598	326	709
5	possessive	0.8000	340	425
5	preconj	0.5455	6	11
5	predet	0.4286	6	14
5	prep	0.7423	2808	3783
5	prt	0.9483	110	116
5	quantmod	0.5833	112	192
5	rcmod	0.3966	115	290
5	tmod	0.6639	162	244
5	vmod	0.5966	213	357
5	xcomp	0.7864	313	398
6	acomp	0.9375	45	48
6	advcl	0.1877	55	293
6	advmod	0.7359	939	1276
6	amod	0.7682	1925	2506
6	appos	0.4312	119	276
6	aux	0.9065	1124	1240
6	auxpass	0.9720	278	286
6	cc	0.4915	493	1003
6	ccomp	0.5371	297	553
6	conj	0.3925	396	1009
6	cop	0.8121	268	330
6	csubj	0.2667	4	15
6	csubjpass	1.0000	1	1
6	dep	0.4894	276	564
6	det	0.7556	2514	3327
6	discourse	0.4286	3	7
6	dobj	0.8412	1377	1637
6	expl	0.9062	29	32
6	iobj	0.7778	14	18
6	mark	0.5534	233	421
6	mwe	1.0000	51	51
6	neg	0.8794	175	199
6	nn	0.7314	2361	3228
6	npadvmod	0.8413	159	189
6	nsubj	0.7234	2011	2780
6	nsubjpass	0.6087	154	253
6	num	0.8702	999	1148
6	number	0.8750	392	448
6	parataxis	0.3036	17	56
6	pcomp	0.9087	189	208
6	pobj	0.8425	3155	3745
6	poss	0.4894	347	709
6	possessive	0.7694	327	425
6	preconj	0.6364	7	11
6	predet	0.3571	5	14
6	prep	0.7454	2820	3783
6	prt	0.9655	112	116
6	quantmod	0.5625	108	192
6	rcmod	0.4172	121	290
6	tmod	0.6393	156	244
6	vmod	0.5966	213	357
6	xcomp	0.7789	310	398
7	acomp	0.9583	46	48
7	advcl	0.2082	61	293
7	advmod	0.7484	955	1276
7	amod	0.7865	1971	2506
7	appos	0.4638	128	276
7	aux	0.9145	1134	1240
7	auxpass	0.9615	275	286
7	cc	0.5194	521	1003
7	ccomp	0.5461	302	553
7	conj	0.4083	412	1009
7	cop	0.8182	270	330
7	csubj	0.3333	5	15
7	csubjpass	1.0000	1	1
7	dep	0.4982	281	564
7	det	0.7589	2525	3327
7	discourse	0.2857	2	7
7	dobj	0.8516	1394	1637
7	expl	0.9062	29	32
7	iobj	0.7778	14	18
7	mark	0.5487	231	421
7	mwe	0.9804	50	51
7	neg	0.8945	178	199
