epoch	train_loss	dev_loss	dev_uuas
0	1.016097	0.981227	0.5815
1	0.995540	0.990025	0.5866
2	0.898639	0.872721	0.7277
3	0.881406	0.870659	0.7305
4	0.878421	0.870039	0.7310
5	0.877238	0.868015	0.7276
6	0.876706	0.868738	0.7297
7	0.864826	0.859643	0.7374
8	0.862529	0.858845	0.7370
9	0.861979	0.858652	0.7367
10	0.861712	0.858515	0.7371
11	0.861535	0.858578	0.7363
12	0.859805	0.858198	0.7368
13	0.859663	0.858143	0.7371
14	0.859416	0.858132	0.7371
15	0.859388	0.858130	0.7370
16	0.859386	0.858130	0.7370
17	0.859385	0.858129	0.7370
