epoch	train_loss	dev_loss	dev_uuas
0	0.982548	0.927120	0.6485
1	0.950389	0.934814	0.6453
2	0.824506	0.794961	0.7649
3	0.800151	0.790684	0.7740
4	0.796569	0.790133	0.7738
5	0.795062	0.789213	0.7735
6	0.794403	0.788862	0.7725
7	0.793833	0.788855	0.7711
8	0.777917	0.777449	0.7785
9	0.774943	0.776921	0.7792
10	0.774188	0.776887	0.7800
11	0.771614	0.776063	0.7799
12	0.771440	0.775941	0.7797
13	0.771364	0.775840	0.7796
14	0.771315	0.775832	0.7796
15	0.771006	0.775832	0.7797
16	0.770966	0.775832	0.7797
17	0.770964	0.775831	0.7797
18	0.770963	0.775831	0.7797
