epoch	train_loss	dev_loss	dev_uuas
0	0.925077	0.895195	0.6733
1	0.905695	0.888610	0.6689
2	0.905781	0.885792	0.6664
3	0.905261	0.890027	0.6556
4	0.783252	0.755156	0.7977
5	0.758956	0.750112	0.8018
6	0.755170	0.749120	0.8037
7	0.753823	0.746542	0.8057
8	0.752891	0.746060	0.8024
9	0.752606	0.748866	0.8040
10	0.738206	0.738126	0.8090
11	0.735127	0.736835	0.8095
12	0.734422	0.736154	0.8098
13	0.734083	0.736763	0.8108
14	0.731845	0.735875	0.8104
15	0.731674	0.735750	0.8101
16	0.731610	0.735696	0.8102
17	0.731316	0.735685	0.8101
18	0.731281	0.735684	0.8101
19	0.731281	0.735684	0.8101
20	0.731281	0.735683	0.8101
