epoch	train_loss	dev_loss	dev_uuas
0	1.160612	1.134782	0.4679
1	1.143570	1.140269	0.4558
2	1.024798	0.998455	0.5942
3	1.004838	0.995596	0.6010
4	1.001277	0.993188	0.6000
5	0.999394	0.991408	0.5994
6	0.998516	0.994627	0.6087
7	0.983569	0.980429	0.6087
8	0.980425	0.979717	0.6087
9	0.979767	0.979225	0.6100
10	0.979473	0.979177	0.6088
11	0.977247	0.978776	0.6087
12	0.977047	0.978688	0.6084
13	0.976722	0.978684	0.6086
14	0.976684	0.978684	0.6087
15	0.976683	0.978684	0.6087
16	0.976684	0.978683	0.6087
