epoch	train_loss	dev_loss	dev_uuas
0	1.014458	0.939874	0.6729
1	0.946402	0.939557	0.6716
2	0.942663	0.924656	0.6795
3	0.941517	0.927239	0.6749
4	0.882598	0.869403	0.7298
5	0.870610	0.866365	0.7303
6	0.868388	0.864151	0.7340
7	0.867510	0.864594	0.7298
8	0.859284	0.861284	0.7340
9	0.858107	0.860380	0.7343
10	0.857779	0.860197	0.7337
11	0.857588	0.860131	0.7343
12	0.856416	0.859998	0.7343
13	0.856340	0.859994	0.7342
14	0.856189	0.859985	0.7341
15	0.856171	0.859984	0.7341
16	0.856170	0.859984	0.7341
17	0.856172	0.859983	0.7341
