epoch	train_loss	dev_loss	dev_uuas
0	1.111470	1.085348	0.5045
1	1.093234	1.077598	0.4963
2	1.093459	1.079953	0.4949
3	0.980256	0.952977	0.6413
4	0.960516	0.951808	0.6473
5	0.956745	0.949326	0.6433
6	0.955231	0.946859	0.6440
7	0.954499	0.946301	0.6451
8	0.953986	0.946060	0.6421
9	0.953744	0.946823	0.6463
10	0.939822	0.935967	0.6525
11	0.936950	0.934548	0.6534
12	0.936336	0.934524	0.6524
13	0.934176	0.934038	0.6533
14	0.933982	0.933914	0.6530
15	0.933904	0.933830	0.6534
16	0.933621	0.933826	0.6537
17	0.933583	0.933825	0.6536
18	0.933582	0.933825	0.6536
19	0.933581	0.933825	0.6536
