epoch	train_loss	dev_loss	dev_uuas
0	0.957720	0.922364	0.6610
1	0.931905	0.912671	0.6562
2	0.930333	0.910028	0.6548
3	0.930466	0.916692	0.6550
4	0.828339	0.804303	0.7623
5	0.805038	0.797346	0.7667
6	0.801275	0.795990	0.7663
7	0.799538	0.797519	0.7708
8	0.786423	0.787646	0.7745
9	0.783884	0.786767	0.7746
10	0.783209	0.786701	0.7744
11	0.781089	0.786232	0.7746
12	0.780934	0.786121	0.7746
13	0.780865	0.786035	0.7744
14	0.780820	0.785996	0.7744
15	0.780560	0.785992	0.7744
16	0.780531	0.785991	0.7744
17	0.780531	0.785991	0.7744
18	0.780530	0.785991	0.7744
19	0.780530	0.785990	0.7744
