epoch	train_loss	dev_loss	dev_uuas
0	0.943924	0.918176	0.6574
1	0.922247	0.912341	0.6535
2	0.921670	0.903019	0.6682
3	0.921183	0.924128	0.6732
4	0.818402	0.792996	0.7946
5	0.800361	0.788257	0.7963
6	0.797064	0.788327	0.7956
7	0.784468	0.778594	0.8035
8	0.781809	0.777699	0.8032
9	0.781130	0.777134	0.8031
10	0.780800	0.776863	0.8027
11	0.780557	0.776734	0.8038
12	0.780396	0.776659	0.8032
13	0.778562	0.776372	0.8034
14	0.778412	0.776291	0.8036
15	0.778357	0.776251	0.8035
16	0.778108	0.776248	0.8035
17	0.778079	0.776249	0.8035
18	0.778078	0.776249	0.8035
19	0.778077	0.776248	0.8036
20	0.778077	0.776248	0.8036
