epoch	train_loss	dev_loss	dev_uuas
0	0.977629	0.943569	0.6217
1	0.956675	0.947089	0.6346
2	0.857905	0.833105	0.7647
3	0.841122	0.829210	0.7677
4	0.838271	0.827987	0.7687
5	0.837087	0.827092	0.7687
6	0.836591	0.826251	0.7701
7	0.836146	0.826402	0.7665
8	0.824616	0.818953	0.7733
9	0.822134	0.818184	0.7738
10	0.821533	0.817793	0.7734
11	0.821314	0.817952	0.7743
12	0.819564	0.817572	0.7748
13	0.819398	0.817488	0.7747
14	0.819340	0.817473	0.7746
15	0.819101	0.817458	0.7746
16	0.819074	0.817457	0.7746
17	0.819072	0.817457	0.7746
18	0.819072	0.817456	0.7746
19	0.819071	0.817456	0.7745
20	0.819070	0.817456	0.7745
