epoch	train_loss	dev_loss	dev_uuas
0	1.232853	1.227008	0.4130
1	1.219882	1.195365	0.4271
2	1.218489	1.202770	0.4007
3	1.102810	1.077667	0.5395
4	1.084432	1.070004	0.5443
5	1.080663	1.069475	0.5548
6	1.078437	1.067741	0.5441
7	1.077389	1.067272	0.5511
8	1.076620	1.067297	0.5473
9	1.060995	1.054757	0.5578
10	1.058112	1.053859	0.5582
11	1.057466	1.053702	0.5590
12	1.057148	1.053701	0.5582
13	1.054890	1.052966	0.5582
14	1.054690	1.052932	0.5582
15	1.054377	1.052868	0.5581
16	1.054333	1.052865	0.5581
17	1.054331	1.052863	0.5581
18	1.054331	1.052861	0.5581
19	1.054328	1.052859	0.5581
20	1.054328	1.052858	0.5581
21	1.054326	1.052856	0.5580
