epoch	relation	uuas	correct	total
0	acomp	0.5208	25	48
0	advcl	0.1775	52	293
0	advmod	0.4271	545	1276
0	amod	0.5108	1280	2506
0	appos	0.3261	90	276
0	aux	0.5242	650	1240
0	auxpass	0.5490	157	286
0	cc	0.1545	155	1003
0	ccomp	0.2966	164	553
0	conj	0.3826	386	1009
0	cop	0.3424	113	330
0	csubj	0.3333	5	15
0	csubjpass	1.0000	1	1
0	dep	0.3493	197	564
0	det	0.2669	888	3327
0	discourse	0.1429	1	7
0	dobj	0.4795	785	1637
0	expl	0.5625	18	32
0	iobj	0.5556	10	18
0	mark	0.1781	75	421
0	mwe	0.8431	43	51
0	neg	0.5327	106	199
0	nn	0.5375	1735	3228
0	npadvmod	0.4603	87	189
0	nsubj	0.4752	1321	2780
0	nsubjpass	0.2411	61	253
0	num	0.5706	655	1148
0	number	0.5625	252	448
0	parataxis	0.1607	9	56
0	pcomp	0.5913	123	208
0	pobj	0.3263	1222	3745
0	poss	0.2285	162	709
0	possessive	0.5059	215	425
0	preconj	0.3636	4	11
0	predet	0.0714	1	14
0	prep	0.4425	1674	3783
0	prt	0.5517	64	116
0	quantmod	0.3073	59	192
0	rcmod	0.3069	89	290
0	tmod	0.3361	82	244
0	vmod	0.4370	156	357
0	xcomp	0.4950	197	398
1	acomp	0.6458	31	48
1	advcl	0.0922	27	293
1	advmod	0.4412	563	1276
1	amod	0.4773	1196	2506
1	appos	0.3514	97	276
1	aux	0.5532	686	1240
1	auxpass	0.5455	156	286
1	cc	0.2323	233	1003
1	ccomp	0.3237	179	553
1	conj	0.3241	327	1009
1	cop	0.2939	97	330
1	csubj	0.2000	3	15
1	csubjpass	0.0000	0	1
1	dep	0.3475	196	564
1	det	0.3574	1189	3327
1	discourse	0.2857	2	7
1	dobj	0.4612	755	1637
1	expl	0.6562	21	32
1	iobj	0.4444	8	18
1	mark	0.2447	103	421
1	mwe	0.8039	41	51
1	neg	0.5226	104	199
1	nn	0.5307	1713	3228
1	npadvmod	0.4286	81	189
1	nsubj	0.4532	1260	2780
1	nsubjpass	0.2925	74	253
1	num	0.6411	736	1148
1	number	0.4375	196	448
1	parataxis	0.1786	10	56
1	pcomp	0.6154	128	208
1	pobj	0.3730	1397	3745
1	poss	0.2243	159	709
1	possessive	0.4141	176	425
1	preconj	0.2727	3	11
1	predet	0.2143	3	14
1	prep	0.4644	1757	3783
1	prt	0.6810	79	116
1	quantmod	0.4115	79	192
1	rcmod	0.3034	88	290
1	tmod	0.4344	106	244
1	vmod	0.4286	153	357
1	xcomp	0.4397	175	398
2	acomp	0.5000	24	48
2	advcl	0.0990	29	293
2	advmod	0.4193	535	1276
2	amod	0.5192	1301	2506
2	appos	0.3442	95	276
2	aux	0.4992	619	1240
2	auxpass	0.5105	146	286
2	cc	0.1695	170	1003
2	ccomp	0.3291	182	553
2	conj	0.3588	362	1009
2	cop	0.3424	113	330
2	csubj	0.3333	5	15
2	csubjpass	1.0000	1	1
2	dep	0.3741	211	564
2	det	0.2182	726	3327
2	discourse	0.4286	3	7
2	dobj	0.4692	768	1637
2	expl	0.6562	21	32
2	iobj	0.6111	11	18
2	mark	0.2304	97	421
2	mwe	0.8235	42	51
2	neg	0.3367	67	199
2	nn	0.5220	1685	3228
2	npadvmod	0.5873	111	189
2	nsubj	0.4385	1219	2780
2	nsubjpass	0.2213	56	253
2	num	0.4233	486	1148
2	number	0.3795	170	448
2	parataxis	0.1429	8	56
2	pcomp	0.6442	134	208
2	pobj	0.3995	1496	3745
2	poss	0.2835	201	709
2	possessive	0.4188	178	425
2	preconj	0.4545	5	11
2	predet	0.5000	7	14
2	prep	0.4015	1519	3783
2	prt	0.6897	80	116
2	quantmod	0.4688	90	192
2	rcmod	0.3034	88	290
2	tmod	0.4549	111	244
2	vmod	0.4034	144	357
2	xcomp	0.4573	182	398
3	acomp	0.7708	37	48
3	advcl	0.1911	56	293
3	advmod	0.5713	729	1276
3	amod	0.5722	1434	2506
3	appos	0.3913	108	276
3	aux	0.7290	904	1240
3	auxpass	0.8112	232	286
3	cc	0.2592	260	1003
3	ccomp	0.3924	217	553
3	conj	0.3608	364	1009
3	cop	0.4939	163	330
3	csubj	0.4000	6	15
3	csubjpass	0.0000	0	1
3	dep	0.4291	242	564
3	det	0.3853	1282	3327
3	discourse	0.2857	2	7
3	dobj	0.6249	1023	1637
3	expl	0.8438	27	32
3	iobj	0.7222	13	18
3	mark	0.3135	132	421
3	mwe	0.9412	48	51
3	neg	0.6382	127	199
3	nn	0.5874	1896	3228
3	npadvmod	0.6931	131	189
3	nsubj	0.5809	1615	2780
3	nsubjpass	0.4150	105	253
3	num	0.7230	830	1148
3	number	0.6317	283	448
3	parataxis	0.2143	12	56
3	pcomp	0.7692	160	208
3	pobj	0.5223	1956	3745
3	poss	0.2666	189	709
3	possessive	0.5624	239	425
3	preconj	0.3636	4	11
3	predet	0.2857	4	14
3	prep	0.6487	2454	3783
3	prt	0.7414	86	116
3	quantmod	0.4375	84	192
3	rcmod	0.4103	119	290
3	tmod	0.5246	128	244
3	vmod	0.5798	207	357
3	xcomp	0.6658	265	398
4	acomp	0.7292	35	48
4	advcl	0.1638	48	293
4	advmod	0.5588	713	1276
4	amod	0.5806	1455	2506
4	appos	0.4094	113	276
4	aux	0.7492	929	1240
4	auxpass	0.8112	232	286
4	cc	0.2612	262	1003
4	ccomp	0.3888	215	553
4	conj	0.3548	358	1009
4	cop	0.5242	173	330
4	csubj	0.4667	7	15
4	csubjpass	0.0000	0	1
4	dep	0.4326	244	564
4	det	0.4271	1421	3327
4	discourse	0.2857	2	7
4	dobj	0.5999	982	1637
4	expl	0.8438	27	32
4	iobj	0.6667	12	18
4	mark	0.3088	130	421
4	mwe	0.9412	48	51
4	neg	0.6181	123	199
4	nn	0.6146	1984	3228
4	npadvmod	0.6825	129	189
4	nsubj	0.5755	1600	2780
4	nsubjpass	0.4032	102	253
4	num	0.7047	809	1148
4	number	0.5804	260	448
4	parataxis	0.2143	12	56
4	pcomp	0.7500	156	208
4	pobj	0.5359	2007	3745
4	poss	0.2990	212	709
4	possessive	0.5576	237	425
4	preconj	0.0909	1	11
4	predet	0.2143	3	14
4	prep	0.6402	2422	3783
4	prt	0.7500	87	116
4	quantmod	0.4583	88	192
4	rcmod	0.4172	121	290
4	tmod	0.5041	123	244
4	vmod	0.5714	204	357
4	xcomp	0.6256	249	398
5	acomp	0.7083	34	48
5	advcl	0.2014	59	293
5	advmod	0.5799	740	1276
5	amod	0.6173	1547	2506
5	appos	0.4203	116	276
5	aux	0.7540	935	1240
5	auxpass	0.8077	231	286
5	cc	0.2403	241	1003
5	ccomp	0.3906	216	553
5	conj	0.3786	382	1009
5	cop	0.5424	179	330
5	csubj	0.4000	6	15
5	csubjpass	0.0000	0	1
5	dep	0.4184	236	564
5	det	0.4355	1449	3327
5	discourse	0.2857	2	7
5	dobj	0.6304	1032	1637
5	expl	0.9375	30	32
5	iobj	0.7778	14	18
5	mark	0.3159	133	421
5	mwe	0.9412	48	51
5	neg	0.6834	136	199
5	nn	0.6165	1990	3228
5	npadvmod	0.7196	136	189
5	nsubj	0.5899	1640	2780
5	nsubjpass	0.4506	114	253
5	num	0.7117	817	1148
5	number	0.6920	310	448
5	parataxis	0.2500	14	56
5	pcomp	0.7115	148	208
5	pobj	0.5183	1941	3745
5	poss	0.3032	215	709
5	possessive	0.5906	251	425
5	preconj	0.2727	3	11
5	predet	0.2857	4	14
5	prep	0.6437	2435	3783
5	prt	0.7845	91	116
5	quantmod	0.4635	89	192
5	rcmod	0.4207	122	290
5	tmod	0.5410	132	244
5	vmod	0.5826	208	357
5	xcomp	0.6633	264	398
6	acomp	0.7083	34	48
6	advcl	0.2184	64	293
6	advmod	0.5643	720	1276
6	amod	0.5954	1492	2506
6	appos	0.3913	108	276
6	aux	0.7387	916	1240
6	auxpass	0.8147	233	286
6	cc	0.2572	258	1003
6	ccomp	0.3888	215	553
