epoch	relation	uuas	correct	total
0	acomp	0.8333	40	48
0	advcl	0.1058	31	293
0	advmod	0.6442	822	1276
0	amod	0.6883	1725	2506
0	appos	0.3804	105	276
0	aux	0.7468	926	1240
0	auxpass	0.6958	199	286
0	cc	0.4447	446	1003
0	ccomp	0.4575	253	553
0	conj	0.4311	435	1009
0	cop	0.6576	217	330
0	csubj	0.4000	6	15
0	csubjpass	0.0000	0	1
0	dep	0.4060	229	564
0	det	0.7006	2331	3327
0	discourse	0.2857	2	7
0	dobj	0.7208	1180	1637
0	expl	0.8750	28	32
0	iobj	0.7778	14	18
0	mark	0.4608	194	421
0	mwe	0.9608	49	51
0	neg	0.6683	133	199
0	nn	0.6564	2119	3228
0	npadvmod	0.7672	145	189
0	nsubj	0.6144	1708	2780
0	nsubjpass	0.4822	122	253
0	num	0.8301	953	1148
0	number	0.7009	314	448
0	parataxis	0.2321	13	56
0	pcomp	0.7788	162	208
0	pobj	0.6860	2569	3745
0	poss	0.3738	265	709
0	possessive	0.5224	222	425
0	preconj	0.6364	7	11
0	predet	0.4286	6	14
0	prep	0.6957	2632	3783
0	prt	0.8190	95	116
0	quantmod	0.5625	108	192
0	rcmod	0.2931	85	290
0	tmod	0.5738	140	244
0	vmod	0.5770	206	357
0	xcomp	0.6759	269	398
1	acomp	0.7917	38	48
1	advcl	0.1468	43	293
1	advmod	0.6285	802	1276
1	amod	0.7406	1856	2506
1	appos	0.3659	101	276
1	aux	0.7637	947	1240
1	auxpass	0.7133	204	286
1	cc	0.4158	417	1003
1	ccomp	0.3870	214	553
1	conj	0.4172	421	1009
1	cop	0.5939	196	330
1	csubj	0.4000	6	15
1	csubjpass	1.0000	1	1
1	dep	0.4060	229	564
1	det	0.6510	2166	3327
1	discourse	0.0000	0	7
1	dobj	0.7068	1157	1637
1	expl	0.9062	29	32
1	iobj	0.8889	16	18
1	mark	0.4157	175	421
1	mwe	0.9608	49	51
1	neg	0.4472	89	199
1	nn	0.6862	2215	3228
1	npadvmod	0.8307	157	189
1	nsubj	0.6155	1711	2780
1	nsubjpass	0.5336	135	253
1	num	0.8406	965	1148
1	number	0.8013	359	448
1	parataxis	0.2143	12	56
1	pcomp	0.7740	161	208
1	pobj	0.7041	2637	3745
1	poss	0.5148	365	709
