epoch	train_loss	dev_loss	dev_uuas
0	1.674132	1.492916	0.2276
1	1.512738	1.467113	0.2500
2	1.495174	1.457555	0.2600
3	1.486885	1.453514	0.2658
4	1.482153	1.451461	0.2644
5	1.479103	1.448412	0.2646
6	1.476826	1.447132	0.2662
7	1.474987	1.447167	0.2691
8	1.465070	1.441719	0.2692
9	1.463657	1.441035	0.2687
10	1.463194	1.440500	0.2689
11	1.462901	1.440285	0.2685
12	1.462689	1.440254	0.2690
13	1.461418	1.439903	0.2688
14	1.461293	1.439875	0.2686
15	1.461123	1.439808	0.2687
16	1.461098	1.439806	0.2687
17	1.461098	1.439805	0.2687
18	1.461098	1.439805	0.2687
