epoch	train_loss	dev_loss	dev_uuas
0	0.975547	0.959489	0.6361
1	0.960423	0.937201	0.6378
2	0.959526	0.937588	0.6272
3	0.830759	0.801055	0.7866
4	0.810325	0.796614	0.7873
5	0.807277	0.796617	0.7895
6	0.791493	0.783702	0.7969
7	0.788148	0.782522	0.7964
8	0.787373	0.782334	0.7971
9	0.786994	0.782448	0.7964
10	0.784692	0.781641	0.7967
11	0.784455	0.781511	0.7971
12	0.784369	0.781493	0.7975
13	0.784059	0.781458	0.7972
14	0.784019	0.781457	0.7972
15	0.784018	0.781455	0.7973
16	0.784017	0.781454	0.7972
