epoch	train_loss	dev_loss	dev_uuas
0	0.930740	0.891615	0.6708
1	0.909465	0.895520	0.6738
2	0.802874	0.776090	0.8015
3	0.783097	0.770719	0.8059
4	0.779879	0.769926	0.8055
5	0.778496	0.769065	0.8058
6	0.777917	0.769860	0.8068
7	0.765241	0.759736	0.8117
8	0.762642	0.758600	0.8127
9	0.762015	0.758356	0.8128
10	0.761725	0.758211	0.8130
11	0.761536	0.758167	0.8127
12	0.759646	0.757680	0.8125
13	0.759483	0.757640	0.8124
14	0.759211	0.757627	0.8123
15	0.759180	0.757626	0.8123
16	0.759179	0.757625	0.8123
17	0.759178	0.757624	0.8123
