epoch	train_loss	dev_loss	dev_uuas
0	0.973891	0.938060	0.6481
1	0.947863	0.931816	0.6382
2	0.945768	0.941813	0.6389
3	0.836609	0.809957	0.7570
4	0.812487	0.805449	0.7606
5	0.808427	0.802849	0.7602
6	0.806960	0.802628	0.7628
7	0.806249	0.801279	0.7623
8	0.805733	0.801377	0.7625
9	0.792010	0.792992	0.7686
10	0.789360	0.792228	0.7675
11	0.788695	0.792186	0.7684
12	0.786474	0.791866	0.7683
13	0.786321	0.791809	0.7687
14	0.786024	0.791787	0.7688
15	0.786016	0.791779	0.7687
16	0.785985	0.791777	0.7688
17	0.785984	0.791776	0.7688
