epoch	train_loss	dev_loss	dev_uuas
0	1.145589	1.109601	0.4793
1	1.131169	1.112482	0.4778
2	1.019281	0.992887	0.6042
3	1.000391	0.988764	0.6051
4	0.996782	0.988235	0.6067
5	0.995502	0.990185	0.6103
6	0.981539	0.978027	0.6151
7	0.978655	0.976835	0.6136
8	0.978038	0.976481	0.6140
9	0.977685	0.976351	0.6149
10	0.977479	0.976133	0.6143
11	0.977335	0.975912	0.6144
12	0.977223	0.976149	0.6132
13	0.975189	0.975771	0.6136
14	0.975020	0.975672	0.6141
15	0.974960	0.975554	0.6140
16	0.974925	0.975542	0.6142
17	0.974651	0.975527	0.6141
18	0.974621	0.975526	0.6141
19	0.974619	0.975525	0.6141
20	0.974620	0.975524	0.6141
