epoch	train_loss	dev_loss	dev_uuas
0	1.287026	1.234381	0.3756
1	1.268593	1.254894	0.3793
2	1.118997	1.087508	0.5115
3	1.099398	1.081883	0.5153
4	1.094976	1.080939	0.5224
5	1.092527	1.078788	0.5219
6	1.091773	1.077325	0.5189
7	1.090587	1.077656	0.5185
8	1.069337	1.059283	0.5341
9	1.065749	1.059042	0.5366
10	1.064986	1.058351	0.5353
11	1.064630	1.058353	0.5354
12	1.061748	1.057247	0.5364
13	1.061413	1.057168	0.5367
14	1.060996	1.057135	0.5367
15	1.060972	1.057101	0.5366
16	1.060920	1.057100	0.5366
17	1.060918	1.057100	0.5367
18	1.060917	1.057101	0.5367
19	1.060914	1.057101	0.5366
