epoch	train_loss	dev_loss	dev_uuas
0	0.949041	0.920069	0.6485
1	0.931996	0.906012	0.6572
2	0.930148	0.922190	0.6355
3	0.795013	0.766765	0.7973
4	0.770979	0.760789	0.8001
5	0.767521	0.761467	0.7987
6	0.750572	0.746746	0.8075
7	0.746966	0.745385	0.8071
8	0.746130	0.745006	0.8071
9	0.745694	0.744760	0.8075
10	0.745435	0.744423	0.8080
11	0.745202	0.744195	0.8063
12	0.745047	0.744489	0.8076
13	0.742645	0.743832	0.8077
14	0.742438	0.743693	0.8078
15	0.742365	0.743635	0.8078
16	0.742030	0.743637	0.8078
17	0.741992	0.743637	0.8078
18	0.741991	0.743636	0.8078
19	0.741990	0.743636	0.8078
