epoch	train_loss	dev_loss	dev_uuas
0	1.190838	1.154273	0.4575
1	1.171827	1.152624	0.4535
2	1.172312	1.156148	0.4635
3	1.083407	1.059508	0.5739
4	1.067269	1.053873	0.5728
5	1.063779	1.053442	0.5747
6	1.062060	1.053141	0.5757
7	1.061110	1.052520	0.5745
8	1.060613	1.052375	0.5756
9	1.060270	1.050656	0.5741
10	1.059761	1.050881	0.5787
11	1.048094	1.043228	0.5825
12	1.046002	1.042699	0.5826
13	1.045484	1.042375	0.5822
14	1.045271	1.042351	0.5823
15	1.043516	1.042033	0.5821
16	1.043371	1.042034	0.5824
17	1.043130	1.042010	0.5823
18	1.043100	1.042009	0.5824
19	1.043099	1.042007	0.5824
20	1.043099	1.042005	0.5824
