epoch	train_loss	dev_loss	dev_uuas
0	0.965886	0.930442	0.6564
1	0.936449	0.910030	0.6667
2	0.934876	0.915213	0.6592
3	0.835711	0.810827	0.7566
4	0.813439	0.806230	0.7616
5	0.809447	0.804293	0.7631
6	0.808066	0.805264	0.7631
7	0.795079	0.796985	0.7673
8	0.792651	0.796096	0.7677
9	0.792037	0.795563	0.7676
10	0.791678	0.795447	0.7682
11	0.791458	0.795142	0.7687
12	0.791327	0.795142	0.7681
13	0.789423	0.794951	0.7677
14	0.789312	0.794964	0.7678
15	0.789050	0.794961	0.7679
16	0.789022	0.794961	0.7679
17	0.789022	0.794961	0.7679
18	0.789021	0.794961	0.7679
