epoch	relation	uuas	correct	total
0	acomp	0.1250	6	48
0	advcl	0.0785	23	293
0	advmod	0.0909	116	1276
0	amod	0.1137	285	2506
0	appos	0.1232	34	276
0	aux	0.0815	101	1240
0	auxpass	0.1084	31	286
0	cc	0.0618	62	1003
0	ccomp	0.0705	39	553
0	conj	0.1278	129	1009
0	cop	0.1152	38	330
0	csubj	0.2000	3	15
0	csubjpass	0.0000	0	1
0	dep	0.1223	69	564
0	det	0.0517	172	3327
0	discourse	0.1429	1	7
0	dobj	0.0861	141	1637
0	expl	0.0625	2	32
0	iobj	0.1111	2	18
0	mark	0.0499	21	421
0	mwe	0.0196	1	51
0	neg	0.1809	36	199
0	nn	0.1190	384	3228
0	npadvmod	0.0423	8	189
0	nsubj	0.0932	259	2780
0	nsubjpass	0.0751	19	253
0	num	0.0871	100	1148
0	number	0.0982	44	448
0	parataxis	0.0714	4	56
0	pcomp	0.0817	17	208
0	pobj	0.0748	280	3745
0	poss	0.0677	48	709
0	possessive	0.2353	100	425
0	preconj	0.1818	2	11
0	predet	0.0714	1	14
0	prep	0.0645	244	3783
0	prt	0.0690	8	116
0	quantmod	0.0573	11	192
0	rcmod	0.0897	26	290
0	tmod	0.0738	18	244
0	vmod	0.0784	28	357
0	xcomp	0.0653	26	398
1	acomp	0.0625	3	48
1	advcl	0.0819	24	293
1	advmod	0.0854	109	1276
1	amod	0.1237	310	2506
1	appos	0.1051	29	276
1	aux	0.0734	91	1240
1	auxpass	0.0874	25	286
1	cc	0.0708	71	1003
1	ccomp	0.0542	30	553
1	conj	0.1179	119	1009
1	cop	0.1030	34	330
1	csubj	0.0667	1	15
1	csubjpass	0.0000	0	1
1	dep	0.1064	60	564
1	det	0.0586	195	3327
1	discourse	0.2857	2	7
1	dobj	0.0782	128	1637
1	expl	0.2188	7	32
1	iobj	0.1111	2	18
1	mark	0.0618	26	421
1	mwe	0.0588	3	51
1	neg	0.1709	34	199
1	nn	0.1236	399	3228
1	npadvmod	0.0529	10	189
1	nsubj	0.1076	299	2780
1	nsubjpass	0.0988	25	253
1	num	0.0967	111	1148
1	number	0.1161	52	448
1	parataxis	0.1071	6	56
1	pcomp	0.0721	15	208
1	pobj	0.0718	269	3745
1	poss	0.0719	51	709
1	possessive	0.2682	114	425
1	preconj	0.0909	1	11
1	predet	0.0714	1	14
1	prep	0.0613	232	3783
1	prt	0.1034	12	116
1	quantmod	0.0677	13	192
1	rcmod	0.0897	26	290
1	tmod	0.0943	23	244
1	vmod	0.0616	22	357
1	xcomp	0.0653	26	398
2	acomp	0.0833	4	48
2	advcl	0.0751	22	293
2	advmod	0.0886	113	1276
2	amod	0.1253	314	2506
2	appos	0.1268	35	276
2	aux	0.0734	91	1240
2	auxpass	0.1014	29	286
2	cc	0.0588	59	1003
2	ccomp	0.0561	31	553
2	conj	0.1090	110	1009
2	cop	0.0939	31	330
2	csubj	0.0000	0	15
2	csubjpass	0.0000	0	1
2	dep	0.1223	69	564
2	det	0.0535	178	3327
2	discourse	0.1429	1	7
2	dobj	0.0770	126	1637
2	expl	0.1562	5	32
2	iobj	0.0000	0	18
2	mark	0.0475	20	421
2	mwe	0.0588	3	51
2	neg	0.1558	31	199
2	nn	0.1202	388	3228
2	npadvmod	0.0529	10	189
2	nsubj	0.1061	295	2780
2	nsubjpass	0.0988	25	253
2	num	0.1002	115	1148
2	number	0.1295	58	448
2	parataxis	0.0893	5	56
2	pcomp	0.0817	17	208
2	pobj	0.0686	257	3745
2	poss	0.0748	53	709
2	possessive	0.2612	111	425
2	preconj	0.0909	1	11
2	predet	0.0714	1	14
2	prep	0.0650	246	3783
2	prt	0.1034	12	116
2	quantmod	0.0833	16	192
2	rcmod	0.0966	28	290
2	tmod	0.0902	22	244
2	vmod	0.0672	24	357
2	xcomp	0.0678	27	398
3	acomp	0.1042	5	48
3	advcl	0.0785	23	293
3	advmod	0.0917	117	1276
3	amod	0.1253	314	2506
3	appos	0.1304	36	276
3	aux	0.0726	90	1240
3	auxpass	0.0979	28	286
3	cc	0.0608	61	1003
3	ccomp	0.0561	31	553
3	conj	0.1110	112	1009
3	cop	0.0909	30	330
3	csubj	0.0000	0	15
3	csubjpass	0.0000	0	1
3	dep	0.1152	65	564
3	det	0.0529	176	3327
3	discourse	0.1429	1	7
3	dobj	0.0788	129	1637
3	expl	0.1562	5	32
3	iobj	0.0000	0	18
3	mark	0.0428	18	421
3	mwe	0.0588	3	51
3	neg	0.1608	32	199
3	nn	0.1196	386	3228
3	npadvmod	0.0476	9	189
3	nsubj	0.1043	290	2780
3	nsubjpass	0.0988	25	253
3	num	0.1037	119	1148
3	number	0.1272	57	448
3	parataxis	0.0893	5	56
3	pcomp	0.0865	18	208
3	pobj	0.0697	261	3745
3	poss	0.0762	54	709
3	possessive	0.2635	112	425
3	preconj	0.0909	1	11
3	predet	0.0000	0	14
3	prep	0.0650	246	3783
3	prt	0.1034	12	116
3	quantmod	0.0833	16	192
3	rcmod	0.0966	28	290
