epoch	train_loss	dev_loss	dev_uuas
0	1.673900	1.492086	0.2267
1	1.513634	1.467287	0.2505
2	1.495729	1.458088	0.2599
3	1.487387	1.454766	0.2621
4	1.482620	1.452951	0.2641
5	1.479251	1.449830	0.2661
6	1.476753	1.450977	0.2657
7	1.466705	1.442852	0.2680
8	1.465232	1.442232	0.2694
9	1.464789	1.441968	0.2694
10	1.464466	1.441556	0.2693
11	1.464201	1.441382	0.2695
12	1.463954	1.441300	0.2696
13	1.462680	1.440865	0.2700
14	1.462560	1.440799	0.2699
15	1.462396	1.440757	0.2698
16	1.462372	1.440754	0.2698
17	1.462370	1.440754	0.2698
18	1.462369	1.440754	0.2698
19	1.462369	1.440754	0.2698
20	1.462369	1.440754	0.2698
