epoch	train_loss	dev_loss	dev_uuas
0	1.072936	1.047841	0.5418
1	1.050994	1.039919	0.5556
2	1.050172	1.042563	0.5301
3	0.953576	0.929297	0.6770
4	0.936617	0.926490	0.6732
5	0.933788	0.924279	0.6795
6	0.932743	0.923857	0.6796
7	0.932126	0.924040	0.6780
8	0.920370	0.915644	0.6830
9	0.917953	0.914792	0.6853
10	0.917393	0.914551	0.6852
11	0.917098	0.914298	0.6847
12	0.916968	0.914001	0.6844
13	0.916866	0.913954	0.6846
14	0.915130	0.913694	0.6844
15	0.914993	0.913605	0.6840
16	0.914745	0.913596	0.6839
17	0.914738	0.913593	0.6839
18	0.914710	0.913592	0.6839
19	0.914710	0.913592	0.6839
20	0.914710	0.913592	0.6839
21	0.914709	0.913591	0.6839
22	0.914709	0.913591	0.6839
