epoch	train_loss	dev_loss	dev_uuas
0	1.012633	0.945305	0.6543
1	0.974314	0.996783	0.6425
2	0.854182	0.829707	0.7491
3	0.831681	0.825338	0.7540
4	0.828201	0.821982	0.7555
5	0.826819	0.820300	0.7543
6	0.825916	0.820894	0.7497
7	0.810045	0.810817	0.7583
8	0.807584	0.809624	0.7591
9	0.806930	0.809838	0.7597
10	0.804470	0.809056	0.7593
11	0.804316	0.808989	0.7593
12	0.804003	0.808952	0.7594
13	0.803986	0.808950	0.7594
14	0.803950	0.808948	0.7593
15	0.803950	0.808948	0.7593
16	0.803950	0.808947	0.7593
17	0.803948	0.808945	0.7593
