epoch	train_loss	dev_loss	dev_uuas
0	1.263932	2.522623	0.0818
1	1.237032	3.298360	0.0809
2	1.160726	3.554634	0.0826
3	1.141637	3.607188	0.0822
4	1.138565	3.610980	0.0825
5	1.138210	3.611534	0.0824
