epoch	train_loss	dev_loss	dev_uuas
0	1.259884	1.983877	0.0842
1	1.240651	2.084289	0.0845
2	1.154402	2.140749	0.0859
3	1.132201	2.161071	0.0854
4	1.128818	2.163324	0.0856
5	1.128391	2.163479	0.0856
