epoch	train_loss	dev_loss	dev_uuas
0	0.955098	0.916820	0.6591
1	0.931363	0.912729	0.6527
2	0.928916	0.914911	0.6498
3	0.799256	0.769113	0.7854
4	0.774905	0.766829	0.7887
5	0.771171	0.763118	0.7904
6	0.769930	0.761506	0.7931
7	0.769310	0.762968	0.7924
8	0.753120	0.751250	0.7982
9	0.749797	0.749681	0.7982
10	0.748995	0.749463	0.7980
11	0.748618	0.748925	0.7986
12	0.748394	0.749520	0.7987
13	0.745963	0.748981	0.7988
14	0.745536	0.748945	0.7989
15	0.745493	0.748942	0.7988
16	0.745491	0.748939	0.7989
