epoch	train_loss	dev_loss	dev_uuas
0	1.065882	1.032104	0.5343
1	1.047612	1.041902	0.5359
2	0.933185	0.909532	0.6881
3	0.913728	0.902799	0.6917
4	0.910510	0.901988	0.6876
5	0.909301	0.901266	0.6874
6	0.908323	0.901743	0.6865
7	0.894622	0.890910	0.6965
8	0.891791	0.890305	0.6965
9	0.891220	0.889664	0.6978
10	0.890899	0.889581	0.6970
11	0.888826	0.889152	0.6974
12	0.888644	0.889085	0.6977
13	0.888345	0.889072	0.6978
14	0.888310	0.889071	0.6977
15	0.888309	0.889070	0.6977
16	0.888307	0.889070	0.6977
