epoch	train_loss	dev_loss	dev_uuas
0	0.925305	0.880303	0.6731
1	0.901257	0.884940	0.6710
2	0.791954	0.765258	0.7907
3	0.769339	0.760903	0.7932
4	0.765640	0.758163	0.7933
5	0.764388	0.758439	0.7940
6	0.750837	0.749525	0.7989
7	0.748046	0.748764	0.7989
8	0.747323	0.748317	0.7989
9	0.747006	0.748174	0.8002
10	0.746774	0.748105	0.8001
11	0.744752	0.747883	0.8002
12	0.744608	0.747801	0.8002
13	0.744551	0.747745	0.8003
14	0.744285	0.747747	0.8002
15	0.744254	0.747747	0.8002
16	0.744254	0.747747	0.8002
17	0.744253	0.747747	0.8002
18	0.744253	0.747747	0.8002
