epoch	train_loss	dev_loss	dev_uuas
0	0.936296	0.897490	0.6672
1	0.911576	0.906136	0.6763
2	0.802227	0.776203	0.7817
3	0.778534	0.769774	0.7850
4	0.774725	0.769586	0.7879
5	0.773160	0.768449	0.7855
6	0.772346	0.770108	0.7877
7	0.758807	0.759912	0.7904
8	0.756122	0.758955	0.7912
9	0.755430	0.758835	0.7918
10	0.755118	0.758835	0.7920
11	0.752989	0.758385	0.7923
12	0.752856	0.758278	0.7924
13	0.752808	0.758279	0.7924
14	0.752538	0.758268	0.7924
15	0.752507	0.758267	0.7924
16	0.752508	0.758266	0.7924
17	0.752506	0.758265	0.7924
