epoch	relation	uuas	correct	total
0	acomp	0.8333	40	48
0	advcl	0.1195	35	293
0	advmod	0.6779	865	1276
0	amod	0.7450	1867	2506
0	appos	0.4891	135	276
0	aux	0.7250	899	1240
0	auxpass	0.8392	240	286
0	cc	0.3988	400	1003
0	ccomp	0.4937	273	553
0	conj	0.4777	482	1009
0	cop	0.6545	216	330
0	csubj	0.5333	8	15
0	csubjpass	1.0000	1	1
0	dep	0.4397	248	564
0	det	0.7036	2341	3327
0	discourse	0.4286	3	7
0	dobj	0.7422	1215	1637
0	expl	0.8438	27	32
0	iobj	0.7222	13	18
0	mark	0.4466	188	421
0	mwe	1.0000	51	51
0	neg	0.5628	112	199
0	nn	0.6970	2250	3228
0	npadvmod	0.7143	135	189
0	nsubj	0.6791	1888	2780
0	nsubjpass	0.6206	157	253
0	num	0.7962	914	1148
0	number	0.7902	354	448
0	parataxis	0.1964	11	56
0	pcomp	0.8558	178	208
0	pobj	0.7023	2630	3745
0	poss	0.5458	387	709
0	possessive	0.4376	186	425
0	preconj	0.2727	3	11
0	predet	0.1429	2	14
0	prep	0.7222	2732	3783
0	prt	0.9483	110	116
0	quantmod	0.6042	116	192
0	rcmod	0.3483	101	290
0	tmod	0.6516	159	244
0	vmod	0.6387	228	357
0	xcomp	0.6910	275	398
1	acomp	0.8333	40	48
1	advcl	0.1570	46	293
1	advmod	0.6873	877	1276
1	amod	0.7598	1904	2506
1	appos	0.5145	142	276
1	aux	0.6645	824	1240
1	auxpass	0.8077	231	286
1	cc	0.4038	405	1003
1	ccomp	0.5515	305	553
1	conj	0.5045	509	1009
1	cop	0.5727	189	330
1	csubj	0.3333	5	15
1	csubjpass	0.0000	0	1
1	dep	0.4770	269	564
1	det	0.7776	2587	3327
1	discourse	0.4286	3	7
1	dobj	0.7239	1185	1637
1	expl	0.9062	29	32
1	iobj	0.8889	16	18
1	mark	0.4727	199	421
1	mwe	1.0000	51	51
1	neg	0.5377	107	199
1	nn	0.7017	2265	3228
1	npadvmod	0.7831	148	189
1	nsubj	0.6853	1905	2780
1	nsubjpass	0.6364	161	253
1	num	0.7927	910	1148
1	number	0.8415	377	448
1	parataxis	0.2679	15	56
1	pcomp	0.7933	165	208
1	pobj	0.6943	2600	3745
1	poss	0.5783	410	709
1	possessive	0.3647	155	425
1	preconj	0.3636	4	11
1	predet	0.4286	6	14
1	prep	0.7399	2799	3783
1	prt	0.9310	108	116
1	quantmod	0.6042	116	192
1	rcmod	0.2966	86	290
1	tmod	0.5861	143	244
1	vmod	0.5994	214	357
1	xcomp	0.6859	273	398
2	acomp	0.9375	45	48
2	advcl	0.1536	45	293
2	advmod	0.7688	981	1276
2	amod	0.8440	2115	2506
2	appos	0.6522	180	276
2	aux	0.8250	1023	1240
2	auxpass	0.9545	273	286
2	cc	0.5523	554	1003
2	ccomp	0.6908	382	553
2	conj	0.5223	527	1009
2	cop	0.7152	236	330
2	csubj	0.2667	4	15
2	csubjpass	1.0000	1	1
2	dep	0.5461	308	564
2	det	0.8416	2800	3327
2	discourse	0.5714	4	7
2	dobj	0.8626	1412	1637
2	expl	0.8750	28	32
2	iobj	0.8889	16	18
2	mark	0.6152	259	421
2	mwe	1.0000	51	51
2	neg	0.7286	145	199
2	nn	0.7695	2484	3228
2	npadvmod	0.8730	165	189
2	nsubj	0.8097	2251	2780
2	nsubjpass	0.8142	206	253
2	num	0.9094	1044	1148
2	number	0.8973	402	448
2	parataxis	0.1964	11	56
2	pcomp	0.8990	187	208
2	pobj	0.8547	3201	3745
2	poss	0.6671	473	709
2	possessive	0.6165	262	425
2	preconj	0.3636	4	11
2	predet	0.5714	8	14
2	prep	0.8261	3125	3783
2	prt	0.9483	110	116
2	quantmod	0.6198	119	192
2	rcmod	0.4690	136	290
2	tmod	0.7213	176	244
2	vmod	0.6947	248	357
2	xcomp	0.8342	332	398
3	acomp	0.9375	45	48
3	advcl	0.1502	44	293
3	advmod	0.7665	978	1276
3	amod	0.8540	2140	2506
3	appos	0.6703	185	276
3	aux	0.8403	1042	1240
3	auxpass	0.9266	265	286
3	cc	0.5743	576	1003
3	ccomp	0.7016	388	553
3	conj	0.5104	515	1009
3	cop	0.7212	238	330
3	csubj	0.4667	7	15
3	csubjpass	1.0000	1	1
3	dep	0.5195	293	564
3	det	0.8452	2812	3327
3	discourse	0.2857	2	7
3	dobj	0.8705	1425	1637
3	expl	0.9062	29	32
3	iobj	0.8889	16	18
3	mark	0.6223	262	421
3	mwe	1.0000	51	51
3	neg	0.7739	154	199
3	nn	0.7757	2504	3228
3	npadvmod	0.8836	167	189
3	nsubj	0.8209	2282	2780
3	nsubjpass	0.7984	202	253
3	num	0.9051	1039	1148
3	number	0.8973	402	448
3	parataxis	0.2321	13	56
3	pcomp	0.8990	187	208
3	pobj	0.8593	3218	3745
3	poss	0.6587	467	709
3	possessive	0.5741	244	425
3	preconj	0.3636	4	11
3	predet	0.7143	10	14
3	prep	0.8192	3099	3783
3	prt	0.9655	112	116
3	quantmod	0.6146	118	192
3	rcmod	0.4828	140	290
3	tmod	0.7213	176	244
3	vmod	0.7255	259	357
3	xcomp	0.8367	333	398
4	acomp	0.9583	46	48
4	advcl	0.1433	42	293
4	advmod	0.7696	982	1276
4	amod	0.8611	2158	2506
4	appos	0.6594	182	276
4	aux	0.8355	1036	1240
4	auxpass	0.9650	276	286
4	cc	0.5952	597	1003
4	ccomp	0.6926	383	553
4	conj	0.5084	513	1009
4	cop	0.7303	241	330
4	csubj	0.4000	6	15
4	csubjpass	1.0000	1	1
4	dep	0.5355	302	564
4	det	0.8482	2822	3327
4	discourse	0.4286	3	7
4	dobj	0.8735	1430	1637
4	expl	0.9062	29	32
4	iobj	0.8889	16	18
4	mark	0.6390	269	421
4	mwe	1.0000	51	51
4	neg	0.8090	161	199
4	nn	0.7763	2506	3228
4	npadvmod	0.8889	168	189
4	nsubj	0.8201	2280	2780
4	nsubjpass	0.8221	208	253
4	num	0.8998	1033	1148
4	number	0.8929	400	448
4	parataxis	0.2500	14	56
4	pcomp	0.9038	188	208
4	pobj	0.8574	3211	3745
4	poss	0.6784	481	709
4	possessive	0.5835	248	425
4	preconj	0.2727	3	11
4	predet	0.7143	10	14
4	prep	0.8202	3103	3783
4	prt	0.9655	112	116
4	quantmod	0.6250	120	192
4	rcmod	0.4759	138	290
4	tmod	0.7295	178	244
4	vmod	0.7171	256	357
4	xcomp	0.8492	338	398
5	acomp	0.9583	46	48
5	advcl	0.1468	43	293
5	advmod	0.7782	993	1276
5	amod	0.8540	2140	2506
5	appos	0.6630	183	276
5	aux	0.8339	1034	1240
5	auxpass	0.9406	269	286
5	cc	0.5803	582	1003
5	ccomp	0.6980	386	553
5	conj	0.5094	514	1009
5	cop	0.7030	232	330
5	csubj	0.4000	6	15
5	csubjpass	1.0000	1	1
5	dep	0.5372	303	564
5	det	0.8458	2814	3327
5	discourse	0.4286	3	7
5	dobj	0.8595	1407	1637
5	expl	0.9375	30	32
5	iobj	0.8889	16	18
5	mark	0.6413	270	421
5	mwe	1.0000	51	51
5	neg	0.8191	163	199
5	nn	0.7726	2494	3228
5	npadvmod	0.8889	168	189
5	nsubj	0.8237	2290	2780
5	nsubjpass	0.8182	207	253
5	num	0.9051	1039	1148
5	number	0.8817	395	448
5	parataxis	0.2679	15	56
5	pcomp	0.8942	186	208
5	pobj	0.8571	3210	3745
5	poss	0.6488	460	709
5	possessive	0.6094	259	425
5	preconj	0.2727	3	11
5	predet	0.7143	10	14
5	prep	0.8202	3103	3783
5	prt	0.9569	111	116
5	quantmod	0.6198	119	192
5	rcmod	0.4724	137	290
5	tmod	0.7336	179	244
5	vmod	0.7115	254	357
5	xcomp	0.8417	335	398
6	acomp	0.9167	44	48
6	advcl	0.1502	44	293
6	advmod	0.7696	982	1276
6	amod	0.8555	2144	2506
6	appos	0.6413	177	276
6	aux	0.8395	1041	1240
6	auxpass	0.9510	272	286
6	cc	0.5842	586	1003
6	ccomp	0.6998	387	553
6	conj	0.5114	516	1009
6	cop	0.7182	237	330
6	csubj	0.6667	10	15
6	csubjpass	1.0000	1	1
6	dep	0.5337	301	564
6	det	0.8461	2815	3327
6	discourse	0.4286	3	7
6	dobj	0.8693	1423	1637
6	expl	0.9375	30	32
6	iobj	0.8889	16	18
6	mark	0.6366	268	421
6	mwe	1.0000	51	51
6	neg	0.8241	164	199
6	nn	0.7720	2492	3228
6	npadvmod	0.8889	168	189
6	nsubj	0.8248	2293	2780
6	nsubjpass	0.7984	202	253
6	num	0.9024	1036	1148
6	number	0.8795	394	448
6	parataxis	0.2857	16	56
6	pcomp	0.8990	187	208
6	pobj	0.8606	3223	3745
6	poss	0.6897	489	709
6	possessive	0.5624	239	425
6	preconj	0.3636	4	11
6	predet	0.5714	8	14
6	prep	0.8255	3123	3783
6	prt	0.9741	113	116
6	quantmod	0.6771	130	192
6	rcmod	0.4931	143	290
6	tmod	0.7254	177	244
6	vmod	0.6891	246	357
6	xcomp	0.8492	338	398
7	acomp	0.9583	46	48
7	advcl	0.1536	45	293
7	advmod	0.7727	986	1276
7	amod	0.8563	2146	2506
7	appos	0.6486	179	276
7	aux	0.8419	1044	1240
7	auxpass	0.9476	271	286
7	cc	0.5862	588	1003
7	ccomp	0.7125	394	553
7	conj	0.5144	519	1009
7	cop	0.7212	238	330
7	csubj	0.6667	10	15
7	csubjpass	1.0000	1	1
7	dep	0.5426	306	564
7	det	0.8485	2823	3327
7	discourse	0.4286	3	7
7	dobj	0.8717	1427	1637
7	expl	0.9375	30	32
7	iobj	0.8333	15	18
7	mark	0.6342	267	421
7	mwe	1.0000	51	51
7	neg	0.8090	161	199
7	nn	0.7748	2501	3228
7	npadvmod	0.9048	171	189
7	nsubj	0.8248	2293	2780
7	nsubjpass	0.8221	208	253
7	num	0.9033	1037	1148
7	number	0.8906	399	448
7	parataxis	0.2679	15	56
7	pcomp	0.8942	186	208
7	pobj	0.8668	3246	3745
7	poss	0.6700	475	709
7	possessive	0.5788	246	425
7	preconj	0.2727	3	11
