epoch	train_loss	dev_loss	dev_uuas
0	1.168689	1.138067	0.4319
1	1.151861	1.135576	0.4405
2	1.150971	1.131755	0.4420
3	1.150076	1.128913	0.4464
4	1.151252	1.151031	0.4365
5	1.008105	0.977145	0.6115
6	0.987519	0.972902	0.6092
7	0.983808	0.975044	0.6115
8	0.964591	0.957573	0.6265
9	0.961041	0.956306	0.6264
10	0.960186	0.955222	0.6245
11	0.959775	0.955246	0.6271
12	0.957113	0.954573	0.6260
13	0.956831	0.954459	0.6255
14	0.956734	0.954471	0.6259
15	0.956370	0.954444	0.6257
16	0.956322	0.954442	0.6257
17	0.956322	0.954441	0.6257
18	0.956321	0.954439	0.6257
