epoch	train_loss	dev_loss	dev_uuas
0	1.122991	1.081518	0.4930
1	1.104565	1.103453	0.4792
2	0.970581	0.940673	0.6632
3	0.949863	0.936567	0.6617
4	0.946786	0.934655	0.6639
5	0.945078	0.934753	0.6596
6	0.928312	0.920733	0.6716
7	0.924865	0.919986	0.6718
8	0.924105	0.919260	0.6723
9	0.923731	0.919254	0.6720
10	0.921303	0.918559	0.6727
11	0.921057	0.918420	0.6728
12	0.920966	0.918367	0.6730
13	0.920629	0.918351	0.6730
14	0.920588	0.918350	0.6730
15	0.920586	0.918350	0.6730
16	0.920584	0.918349	0.6730
