epoch	train_loss	dev_loss	dev_uuas
0	1.032696	0.966573	0.6536
1	0.972087	0.982442	0.6530
2	0.875655	0.854159	0.7319
3	0.859787	0.853656	0.7382
4	0.857093	0.851290	0.7344
5	0.856044	0.850979	0.7359
6	0.855520	0.850388	0.7374
7	0.854988	0.849455	0.7351
8	0.854842	0.854024	0.7367
9	0.841419	0.841044	0.7421
10	0.839190	0.840668	0.7422
11	0.838660	0.839891	0.7423
12	0.838399	0.840190	0.7424
13	0.836361	0.839750	0.7428
14	0.836226	0.839652	0.7427
15	0.836179	0.839700	0.7426
16	0.835931	0.839683	0.7428
17	0.835895	0.839683	0.7428
18	0.835894	0.839682	0.7427
