epoch	train_loss	dev_loss	dev_uuas
0	1.011879	0.979110	0.5947
1	0.993397	0.975112	0.5938
2	0.992374	0.981557	0.5971
3	0.883550	0.859328	0.7410
4	0.865395	0.855244	0.7441
5	0.862377	0.853278	0.7454
6	0.861052	0.853727	0.7475
7	0.847765	0.843976	0.7520
8	0.845193	0.843347	0.7512
9	0.844558	0.843118	0.7520
10	0.844291	0.842964	0.7517
11	0.844082	0.843104	0.7512
12	0.842195	0.842568	0.7511
13	0.842018	0.842498	0.7513
14	0.841741	0.842475	0.7513
15	0.841730	0.842465	0.7513
16	0.841699	0.842463	0.7513
17	0.841697	0.842462	0.7513
18	0.841697	0.842461	0.7513
19	0.841696	0.842460	0.7513
20	0.841695	0.842460	0.7513
