epoch	relation	uuas	correct	total
0	acomp	0.6875	33	48
0	advcl	0.1058	31	293
0	advmod	0.5149	657	1276
0	amod	0.5650	1416	2506
0	appos	0.3841	106	276
0	aux	0.5863	727	1240
0	auxpass	0.5769	165	286
0	cc	0.2502	251	1003
0	ccomp	0.3436	190	553
0	conj	0.3647	368	1009
0	cop	0.4909	162	330
0	csubj	0.2667	4	15
0	csubjpass	1.0000	1	1
0	dep	0.3830	216	564
0	det	0.4563	1518	3327
0	discourse	0.1429	1	7
0	dobj	0.5797	949	1637
0	expl	0.8750	28	32
0	iobj	0.6667	12	18
0	mark	0.2755	116	421
0	mwe	0.9216	47	51
0	neg	0.4573	91	199
0	nn	0.5604	1809	3228
0	npadvmod	0.6720	127	189
0	nsubj	0.5029	1398	2780
0	nsubjpass	0.3794	96	253
0	num	0.6908	793	1148
0	number	0.2924	131	448
0	parataxis	0.2321	13	56
0	pcomp	0.7452	155	208
0	pobj	0.5567	2085	3745
0	poss	0.2990	212	709
0	possessive	0.5812	247	425
0	preconj	0.5455	6	11
0	predet	0.5000	7	14
0	prep	0.5414	2048	3783
0	prt	0.6983	81	116
0	quantmod	0.5365	103	192
0	rcmod	0.3172	92	290
0	tmod	0.4959	121	244
0	vmod	0.4846	173	357
0	xcomp	0.5553	221	398
1	acomp	0.6875	33	48
1	advcl	0.0990	29	293
1	advmod	0.5102	651	1276
1	amod	0.5391	1351	2506
1	appos	0.4348	120	276
1	aux	0.5637	699	1240
1	auxpass	0.7028	201	286
1	cc	0.2792	280	1003
1	ccomp	0.3291	182	553
1	conj	0.3776	381	1009
1	cop	0.4970	164	330
1	csubj	0.2000	3	15
1	csubjpass	0.0000	0	1
1	dep	0.3918	221	564
1	det	0.4782	1591	3327
1	discourse	0.2857	2	7
1	dobj	0.5987	980	1637
1	expl	0.7812	25	32
1	iobj	0.7222	13	18
1	mark	0.3159	133	421
1	mwe	0.9020	46	51
1	neg	0.5126	102	199
1	nn	0.5477	1768	3228
1	npadvmod	0.6614	125	189
1	nsubj	0.5406	1503	2780
1	nsubjpass	0.3202	81	253
1	num	0.6594	757	1148
1	number	0.5848	262	448
1	parataxis	0.1429	8	56
1	pcomp	0.6683	139	208
1	pobj	0.5354	2005	3745
1	poss	0.3752	266	709
1	possessive	0.6565	279	425
1	preconj	0.4545	5	11
1	predet	0.3571	5	14
1	prep	0.5453	2063	3783
1	prt	0.7586	88	116
1	quantmod	0.6198	119	192
1	rcmod	0.2552	74	290
1	tmod	0.5082	124	244
1	vmod	0.4818	172	357
1	xcomp	0.6080	242	398
2	acomp	0.7083	34	48
2	advcl	0.1331	39	293
2	advmod	0.4922	628	1276
2	amod	0.5718	1433	2506
2	appos	0.3261	90	276
2	aux	0.6056	751	1240
2	auxpass	0.6399	183	286
2	cc	0.3549	356	1003
2	ccomp	0.3219	178	553
2	conj	0.3261	329	1009
2	cop	0.5788	191	330
2	csubj	0.3333	5	15
2	csubjpass	0.0000	0	1
2	dep	0.3706	209	564
2	det	0.4226	1406	3327
2	discourse	0.1429	1	7
2	dobj	0.5803	950	1637
2	expl	0.8750	28	32
2	iobj	0.5556	10	18
2	mark	0.2637	111	421
2	mwe	0.8039	41	51
2	neg	0.6533	130	199
2	nn	0.5654	1825	3228
2	npadvmod	0.5238	99	189
2	nsubj	0.5248	1459	2780
2	nsubjpass	0.2964	75	253
2	num	0.6098	700	1148
2	number	0.3304	148	448
2	parataxis	0.2321	13	56
2	pcomp	0.7260	151	208
2	pobj	0.5463	2046	3745
2	poss	0.3103	220	709
2	possessive	0.7176	305	425
2	preconj	0.1818	2	11
2	predet	0.2857	4	14
2	prep	0.5813	2199	3783
2	prt	0.7414	86	116
2	quantmod	0.4740	91	192
2	rcmod	0.3000	87	290
2	tmod	0.3852	94	244
2	vmod	0.4398	157	357
2	xcomp	0.5955	237	398
3	acomp	0.7917	38	48
3	advcl	0.1809	53	293
3	advmod	0.6810	869	1276
3	amod	0.7015	1758	2506
3	appos	0.4746	131	276
3	aux	0.8411	1043	1240
3	auxpass	0.9336	267	286
3	cc	0.3928	394	1003
3	ccomp	0.4340	240	553
3	conj	0.3677	371	1009
3	cop	0.7364	243	330
3	csubj	0.4000	6	15
3	csubjpass	1.0000	1	1
3	dep	0.4379	247	564
3	det	0.6165	2051	3327
3	discourse	0.4286	3	7
3	dobj	0.7422	1215	1637
3	expl	0.9062	29	32
3	iobj	0.7778	14	18
3	mark	0.3753	158	421
3	mwe	0.9804	50	51
3	neg	0.8291	165	199
3	nn	0.6729	2172	3228
3	npadvmod	0.7884	149	189
3	nsubj	0.6460	1796	2780
3	nsubjpass	0.5099	129	253
3	num	0.8153	936	1148
3	number	0.6629	297	448
3	parataxis	0.2500	14	56
3	pcomp	0.8462	176	208
3	pobj	0.7087	2654	3745
3	poss	0.3992	283	709
3	possessive	0.7882	335	425
3	preconj	0.7273	8	11
3	predet	0.5000	7	14
3	prep	0.6875	2601	3783
3	prt	0.9397	109	116
3	quantmod	0.5208	100	192
3	rcmod	0.4207	122	290
3	tmod	0.5656	138	244
3	vmod	0.5714	204	357
3	xcomp	0.7186	286	398
4	acomp	0.8333	40	48
4	advcl	0.1570	46	293
4	advmod	0.6724	858	1276
4	amod	0.7067	1771	2506
4	appos	0.4746	131	276
4	aux	0.8371	1038	1240
4	auxpass	0.9336	267	286
4	cc	0.4108	412	1003
4	ccomp	0.4087	226	553
4	conj	0.3479	351	1009
4	cop	0.7212	238	330
4	csubj	0.3333	5	15
4	csubjpass	1.0000	1	1
4	dep	0.4574	258	564
4	det	0.6279	2089	3327
4	discourse	0.4286	3	7
4	dobj	0.7636	1250	1637
4	expl	0.9062	29	32
4	iobj	0.7778	14	18
4	mark	0.3658	154	421
4	mwe	0.9804	50	51
4	neg	0.8643	172	199
4	nn	0.6747	2178	3228
4	npadvmod	0.8042	152	189
4	nsubj	0.6450	1793	2780
4	nsubjpass	0.4980	126	253
4	num	0.8075	927	1148
4	number	0.6853	307	448
4	parataxis	0.2857	16	56
4	pcomp	0.8558	178	208
4	pobj	0.7073	2649	3745
4	poss	0.3992	283	709
4	possessive	0.7506	319	425
4	preconj	0.6364	7	11
4	predet	0.4286	6	14
4	prep	0.6897	2609	3783
