epoch	train_loss	dev_loss	dev_uuas
0	1.103388	1.075117	0.5049
1	1.085288	1.063719	0.5133
2	1.085446	1.073228	0.5077
3	0.977411	0.950449	0.6490
4	0.959267	0.948913	0.6501
5	0.956072	0.946339	0.6497
6	0.954794	0.946110	0.6497
7	0.954097	0.947417	0.6464
8	0.941159	0.937306	0.6558
9	0.938341	0.935812	0.6559
10	0.937682	0.935606	0.6554
11	0.937409	0.935296	0.6567
12	0.937228	0.935281	0.6567
13	0.935310	0.934848	0.6569
14	0.935125	0.934736	0.6569
15	0.935064	0.934697	0.6568
16	0.934795	0.934693	0.6568
17	0.934764	0.934692	0.6568
18	0.934763	0.934692	0.6568
19	0.934763	0.934692	0.6568
