epoch	train_loss	dev_loss	dev_uuas
0	0.913239	0.873986	0.6777
1	0.893207	0.882020	0.6696
2	0.783556	0.757367	0.8015
3	0.762319	0.753815	0.8057
4	0.758925	0.751587	0.8035
5	0.757338	0.749868	0.8053
6	0.756641	0.750413	0.8046
7	0.743506	0.741575	0.8100
8	0.740898	0.741020	0.8108
9	0.740254	0.740415	0.8113
10	0.739936	0.740485	0.8114
11	0.737912	0.740035	0.8116
12	0.737767	0.739902	0.8116
13	0.737704	0.739863	0.8117
14	0.737438	0.739842	0.8116
15	0.737408	0.739840	0.8116
16	0.737407	0.739839	0.8116
17	0.737405	0.739838	0.8117
