epoch	relation	uuas	correct	total
0	acomp	0.8333	40	48
0	advcl	0.1433	42	293
0	advmod	0.6418	819	1276
0	amod	0.7514	1883	2506
0	appos	0.4022	111	276
0	aux	0.7629	946	1240
0	auxpass	0.6818	195	286
0	cc	0.4058	407	1003
0	ccomp	0.4720	261	553
0	conj	0.4073	411	1009
0	cop	0.5485	181	330
0	csubj	0.3333	5	15
0	csubjpass	1.0000	1	1
0	dep	0.4167	235	564
0	det	0.6510	2166	3327
0	discourse	0.4286	3	7
0	dobj	0.7532	1233	1637
0	expl	0.8125	26	32
0	iobj	0.7222	13	18
0	mark	0.4632	195	421
0	mwe	1.0000	51	51
0	neg	0.5628	112	199
0	nn	0.6893	2225	3228
0	npadvmod	0.6349	120	189
0	nsubj	0.6612	1838	2780
0	nsubjpass	0.6166	156	253
0	num	0.8563	983	1148
0	number	0.8393	376	448
0	parataxis	0.2500	14	56
0	pcomp	0.8317	173	208
0	pobj	0.7308	2737	3745
0	poss	0.5148	365	709
0	possessive	0.5506	234	425
0	preconj	0.2727	3	11
0	predet	0.4286	6	14
0	prep	0.7103	2687	3783
0	prt	0.8534	99	116
0	quantmod	0.4635	89	192
0	rcmod	0.3379	98	290
0	tmod	0.5738	140	244
0	vmod	0.6106	218	357
0	xcomp	0.6156	245	398
1	acomp	0.8333	40	48
1	advcl	0.1160	34	293
1	advmod	0.6489	828	1276
1	amod	0.7566	1896	2506
1	appos	0.3623	100	276
1	aux	0.7895	979	1240
1	auxpass	0.7937	227	286
1	cc	0.4497	451	1003
1	ccomp	0.4756	263	553
1	conj	0.4103	414	1009
1	cop	0.6030	199	330
1	csubj	0.4000	6	15
1	csubjpass	1.0000	1	1
1	dep	0.4220	238	564
1	det	0.6423	2137	3327
1	discourse	0.4286	3	7
1	dobj	0.7159	1172	1637
1	expl	0.8750	28	32
1	iobj	0.7778	14	18
1	mark	0.4584	193	421
1	mwe	1.0000	51	51
1	neg	0.5528	110	199
1	nn	0.6809	2198	3228
1	npadvmod	0.7778	147	189
1	nsubj	0.6669	1854	2780
1	nsubjpass	0.6008	152	253
1	num	0.8467	972	1148
1	number	0.8393	376	448
1	parataxis	0.2143	12	56
1	pcomp	0.7885	164	208
1	pobj	0.7108	2662	3745
1	poss	0.4781	339	709
1	possessive	0.5600	238	425
1	preconj	0.6364	7	11
1	predet	0.5000	7	14
1	prep	0.7248	2742	3783
1	prt	0.8621	100	116
1	quantmod	0.5156	99	192
1	rcmod	0.3276	95	290
1	tmod	0.5738	140	244
1	vmod	0.5938	212	357
1	xcomp	0.7186	286	398
2	acomp	0.8125	39	48
2	advcl	0.1229	36	293
2	advmod	0.6411	818	1276
2	amod	0.7251	1817	2506
2	appos	0.3913	108	276
2	aux	0.6927	859	1240
2	auxpass	0.8566	245	286
2	cc	0.4247	426	1003
2	ccomp	0.4756	263	553
2	conj	0.4133	417	1009
2	cop	0.6576	217	330
2	csubj	0.1333	2	15
2	csubjpass	1.0000	1	1
2	dep	0.4397	248	564
2	det	0.6135	2041	3327
2	discourse	0.1429	1	7
2	dobj	0.7587	1242	1637
2	expl	0.8125	26	32
2	iobj	0.6667	12	18
2	mark	0.3943	166	421
2	mwe	1.0000	51	51
2	neg	0.5678	113	199
2	nn	0.6791	2192	3228
2	npadvmod	0.7884	149	189
2	nsubj	0.6579	1829	2780
2	nsubjpass	0.4150	105	253
2	num	0.8476	973	1148
2	number	0.8795	394	448
2	parataxis	0.2143	12	56
2	pcomp	0.7837	163	208
2	pobj	0.6868	2572	3745
2	poss	0.5078	360	709
2	possessive	0.4282	182	425
2	preconj	0.3636	4	11
2	predet	0.4286	6	14
2	prep	0.7074	2676	3783
2	prt	0.9052	105	116
2	quantmod	0.5052	97	192
2	rcmod	0.2759	80	290
2	tmod	0.5902	144	244
2	vmod	0.5210	186	357
2	xcomp	0.6508	259	398
3	acomp	0.9583	46	48
3	advcl	0.1706	50	293
3	advmod	0.8009	1022	1276
3	amod	0.8651	2168	2506
3	appos	0.5435	150	276
3	aux	0.8992	1115	1240
3	auxpass	0.9720	278	286
3	cc	0.6361	638	1003
3	ccomp	0.6998	387	553
3	conj	0.4381	442	1009
3	cop	0.8515	281	330
3	csubj	0.6000	9	15
3	csubjpass	1.0000	1	1
3	dep	0.5408	305	564
3	det	0.8855	2946	3327
3	discourse	0.4286	3	7
3	dobj	0.8900	1457	1637
3	expl	0.8438	27	32
3	iobj	0.8333	15	18
3	mark	0.6532	275	421
3	mwe	1.0000	51	51
3	neg	0.8593	171	199
3	nn	0.7723	2493	3228
3	npadvmod	0.9206	174	189
3	nsubj	0.8169	2271	2780
3	nsubjpass	0.7905	200	253
3	num	0.9355	1074	1148
3	number	0.8973	402	448
3	parataxis	0.3393	19	56
3	pcomp	0.8798	183	208
3	pobj	0.8916	3339	3745
3	poss	0.7080	502	709
3	possessive	0.7271	309	425
3	preconj	0.4545	5	11
3	predet	0.5714	8	14
3	prep	0.8065	3051	3783
3	prt	0.9397	109	116
3	quantmod	0.6771	130	192
3	rcmod	0.4759	138	290
3	tmod	0.7131	174	244
3	vmod	0.7003	250	357
3	xcomp	0.8593	342	398
4	acomp	0.9583	46	48
4	advcl	0.1638	48	293
4	advmod	0.7970	1017	1276
4	amod	0.8651	2168	2506
4	appos	0.5761	159	276
4	aux	0.9073	1125	1240
4	auxpass	0.9825	281	286
4	cc	0.6261	628	1003
4	ccomp	0.6835	378	553
4	conj	0.4559	460	1009
4	cop	0.8424	278	330
4	csubj	0.4667	7	15
4	csubjpass	1.0000	1	1
4	dep	0.5230	295	564
4	det	0.8861	2948	3327
4	discourse	0.2857	2	7
4	dobj	0.9053	1482	1637
4	expl	0.9062	29	32
4	iobj	0.8333	15	18
4	mark	0.6746	284	421
4	mwe	1.0000	51	51
4	neg	0.8693	173	199
4	nn	0.7776	2510	3228
4	npadvmod	0.9259	175	189
4	nsubj	0.8270	2299	2780
4	nsubjpass	0.7826	198	253
4	num	0.9364	1075	1148
4	number	0.8839	396	448
4	parataxis	0.3214	18	56
4	pcomp	0.8750	182	208
4	pobj	0.8921	3341	3745
4	poss	0.6883	488	709
4	possessive	0.7247	308	425
4	preconj	0.3636	4	11
