epoch	train_loss	dev_loss	dev_uuas
0	0.939170	0.908698	0.6573
1	0.922007	0.904479	0.6586
2	0.920783	0.906290	0.6423
3	0.807722	0.778287	0.8018
4	0.786546	0.773402	0.8034
5	0.783051	0.775860	0.8039
6	0.769123	0.762841	0.8111
7	0.766242	0.761972	0.8119
8	0.765466	0.762117	0.8116
9	0.763341	0.761337	0.8123
10	0.763141	0.761246	0.8124
11	0.763058	0.761144	0.8125
12	0.763000	0.761180	0.8127
13	0.762729	0.761145	0.8127
14	0.762695	0.761143	0.8127
15	0.762693	0.761142	0.8126
16	0.762693	0.761140	0.8126
