epoch	train_loss	dev_loss	dev_uuas
0	0.930418	0.915493	0.6717
1	0.912831	0.892640	0.6680
2	0.912866	0.915327	0.6478
3	0.791588	0.763707	0.8016
4	0.767453	0.755665	0.8061
5	0.763844	0.757242	0.8077
6	0.748855	0.745372	0.8111
7	0.745795	0.744454	0.8116
8	0.744967	0.743838	0.8126
9	0.744563	0.743658	0.8122
10	0.744301	0.743557	0.8116
11	0.744077	0.743479	0.8115
12	0.743946	0.743266	0.8130
13	0.743848	0.743571	0.8122
14	0.741694	0.743120	0.8122
15	0.741513	0.743002	0.8122
16	0.741452	0.742915	0.8121
17	0.741408	0.742956	0.8121
18	0.741132	0.742921	0.8120
19	0.741097	0.742918	0.8120
20	0.741097	0.742916	0.8120
