epoch	train_loss	dev_loss	dev_uuas
0	0.947297	0.900313	0.6713
1	0.921498	0.909080	0.6539
2	0.803015	0.774025	0.7796
3	0.777945	0.769618	0.7835
4	0.774044	0.766737	0.7854
5	0.772641	0.766144	0.7831
6	0.771915	0.765472	0.7843
7	0.771445	0.765003	0.7840
8	0.771206	0.765645	0.7830
9	0.756678	0.756442	0.7897
10	0.753781	0.755906	0.7910
11	0.753069	0.755409	0.7914
12	0.752748	0.755520	0.7912
13	0.750463	0.755036	0.7910
14	0.750314	0.754954	0.7913
15	0.750255	0.754970	0.7913
16	0.749962	0.754955	0.7913
17	0.749927	0.754954	0.7913
18	0.749926	0.754953	0.7913
