epoch	train_loss	dev_loss	dev_uuas
0	1.007561	0.981212	0.6090
1	0.990990	0.968537	0.5931
2	0.990714	0.983831	0.5939
3	0.879848	0.853796	0.7451
4	0.860719	0.851984	0.7507
5	0.857796	0.849608	0.7501
6	0.856374	0.849997	0.7499
7	0.842992	0.838703	0.7555
8	0.840181	0.837932	0.7554
9	0.839512	0.837366	0.7555
10	0.839206	0.837048	0.7565
11	0.839013	0.837056	0.7554
12	0.837043	0.836745	0.7556
13	0.836876	0.836710	0.7556
14	0.836586	0.836702	0.7557
15	0.836552	0.836701	0.7557
16	0.836551	0.836700	0.7557
17	0.836551	0.836700	0.7557
