epoch	train_loss	dev_loss	dev_uuas
0	1.266942	2.441988	0.0840
1	1.237309	3.227358	0.0868
2	1.162486	3.536860	0.0848
3	1.143827	3.569245	0.0832
4	1.140960	3.573392	0.0831
5	1.140604	3.573910	0.0830
