epoch	relation	uuas	correct	total
0	acomp	0.0625	3	48
0	advcl	0.0444	13	293
0	advmod	0.0650	83	1276
0	amod	0.1153	289	2506
0	appos	0.1196	33	276
0	aux	0.0613	76	1240
0	auxpass	0.1014	29	286
0	cc	0.0568	57	1003
0	ccomp	0.0759	42	553
0	conj	0.1328	134	1009
0	cop	0.1091	36	330
0	csubj	0.3333	5	15
0	csubjpass	0.0000	0	1
0	dep	0.1206	68	564
0	det	0.0490	163	3327
0	discourse	0.1429	1	7
0	dobj	0.0788	129	1637
0	expl	0.0938	3	32
0	iobj	0.1111	2	18
0	mark	0.0499	21	421
0	mwe	0.0392	2	51
0	neg	0.1809	36	199
0	nn	0.1224	395	3228
0	npadvmod	0.0159	3	189
0	nsubj	0.0871	242	2780
0	nsubjpass	0.0988	25	253
0	num	0.1106	127	1148
0	number	0.1362	61	448
0	parataxis	0.0714	4	56
0	pcomp	0.0625	13	208
0	pobj	0.0574	215	3745
0	poss	0.0719	51	709
0	possessive	0.2094	89	425
0	preconj	0.1818	2	11
0	predet	0.0714	1	14
0	prep	0.0513	194	3783
0	prt	0.0431	5	116
0	quantmod	0.0417	8	192
0	rcmod	0.0828	24	290
0	tmod	0.0861	21	244
0	vmod	0.0616	22	357
0	xcomp	0.0603	24	398
1	acomp	0.0833	4	48
1	advcl	0.1024	30	293
1	advmod	0.0697	89	1276
1	amod	0.1121	281	2506
1	appos	0.1268	35	276
1	aux	0.0702	87	1240
1	auxpass	0.0629	18	286
1	cc	0.0439	44	1003
1	ccomp	0.0705	39	553
1	conj	0.1318	133	1009
1	cop	0.1273	42	330
1	csubj	0.2667	4	15
1	csubjpass	0.0000	0	1
1	dep	0.1312	74	564
1	det	0.0409	136	3327
1	discourse	0.1429	1	7
1	dobj	0.0696	114	1637
1	expl	0.1250	4	32
1	iobj	0.0000	0	18
1	mark	0.0356	15	421
1	mwe	0.0196	1	51
1	neg	0.2111	42	199
1	nn	0.1205	389	3228
1	npadvmod	0.0053	1	189
1	nsubj	0.1043	290	2780
1	nsubjpass	0.0949	24	253
1	num	0.0932	107	1148
1	number	0.1049	47	448
1	parataxis	0.0714	4	56
1	pcomp	0.0865	18	208
1	pobj	0.0558	209	3745
1	poss	0.0635	45	709
1	possessive	0.2588	110	425
