epoch	train_loss	dev_loss	dev_uuas
0	1.224037	1.189981	0.4377
1	1.209061	1.195378	0.4611
2	1.125660	1.101718	0.5499
3	1.112573	1.099618	0.5592
4	1.109593	1.098197	0.5541
5	1.108310	1.098790	0.5529
6	1.096827	1.089921	0.5579
7	1.094803	1.089152	0.5578
8	1.094235	1.089000	0.5577
9	1.093954	1.089186	0.5583
10	1.092369	1.088423	0.5582
11	1.092187	1.088341	0.5579
12	1.091951	1.088321	0.5580
13	1.091925	1.088320	0.5580
14	1.091923	1.088319	0.5580
15	1.091920	1.088318	0.5580
16	1.091920	1.088317	0.5580
17	1.091919	1.088317	0.5580
