epoch	train_loss	dev_loss	dev_uuas
0	0.916146	0.900873	0.6609
1	0.899731	0.882073	0.6710
2	0.898797	0.891642	0.6748
3	0.780391	0.752382	0.8048
4	0.757709	0.747445	0.8092
5	0.754214	0.746152	0.8110
6	0.752531	0.747583	0.8094
7	0.738508	0.736239	0.8152
8	0.735604	0.734838	0.8165
9	0.734849	0.734499	0.8158
10	0.734499	0.734662	0.8156
11	0.732367	0.734202	0.8155
12	0.732182	0.734108	0.8156
13	0.732117	0.734016	0.8154
14	0.732075	0.734060	0.8155
15	0.731795	0.734043	0.8155
16	0.731762	0.734042	0.8155
17	0.731763	0.734041	0.8155
18	0.731760	0.734040	0.8155
