epoch	train_loss	dev_loss	dev_uuas
0	1.064131	1.026754	0.5519
1	1.047883	1.040299	0.5261
2	0.914841	0.884643	0.7097
3	0.894816	0.882903	0.7120
4	0.891718	0.879142	0.7117
5	0.890630	0.879638	0.7131
6	0.874194	0.865768	0.7227
7	0.870784	0.865140	0.7232
8	0.869994	0.864842	0.7242
9	0.869684	0.865159	0.7240
10	0.867336	0.864264	0.7240
11	0.867051	0.864083	0.7240
12	0.866960	0.864034	0.7241
13	0.866625	0.864001	0.7238
14	0.866584	0.863999	0.7238
15	0.866583	0.863998	0.7238
16	0.866582	0.863997	0.7238
