epoch	train_loss	dev_loss	dev_uuas
0	0.964260	0.926508	0.6584
1	0.943744	0.923951	0.6415
2	0.944134	0.925175	0.6486
3	0.831693	0.803936	0.7804
4	0.812405	0.800291	0.7883
5	0.809138	0.799819	0.7838
6	0.808002	0.798961	0.7863
7	0.807232	0.799665	0.7808
8	0.794160	0.788470	0.7899
9	0.791266	0.787819	0.7900
10	0.790669	0.787555	0.7901
11	0.790364	0.787709	0.7899
12	0.788381	0.787045	0.7901
13	0.788180	0.786965	0.7907
14	0.788111	0.786924	0.7905
15	0.787839	0.786914	0.7905
16	0.787806	0.786913	0.7904
17	0.787806	0.786912	0.7905
18	0.787805	0.786912	0.7905
19	0.787804	0.786911	0.7904
