epoch	train_loss	dev_loss	dev_uuas
0	1.201213	1.176377	0.4367
1	1.182398	1.167757	0.4299
2	1.181812	1.179460	0.4279
3	1.086533	1.060787	0.5638
4	1.070907	1.056313	0.5656
5	1.067323	1.058433	0.5718
6	1.054379	1.046378	0.5715
7	1.051786	1.045629	0.5715
8	1.051133	1.045454	0.5722
9	1.050708	1.045225	0.5718
10	1.050455	1.045283	0.5720
11	1.048669	1.044599	0.5721
12	1.048474	1.044560	0.5720
13	1.048206	1.044535	0.5718
14	1.048174	1.044533	0.5718
15	1.048174	1.044532	0.5718
16	1.048172	1.044530	0.5718
