epoch	relation	uuas	correct	total
0	acomp	0.8958	43	48
0	advcl	0.1058	31	293
0	advmod	0.6818	870	1276
0	amod	0.7634	1913	2506
0	appos	0.4565	126	276
0	aux	0.7194	892	1240
0	auxpass	0.8462	242	286
0	cc	0.4267	428	1003
0	ccomp	0.4937	273	553
0	conj	0.4787	483	1009
0	cop	0.6242	206	330
0	csubj	0.5333	8	15
0	csubjpass	1.0000	1	1
0	dep	0.4397	248	564
0	det	0.7445	2477	3327
0	discourse	0.5714	4	7
0	dobj	0.7575	1240	1637
0	expl	0.8750	28	32
0	iobj	0.7222	13	18
0	mark	0.4204	177	421
0	mwe	0.9804	50	51
0	neg	0.6482	129	199
0	nn	0.7026	2268	3228
0	npadvmod	0.6614	125	189
0	nsubj	0.6799	1890	2780
0	nsubjpass	0.6126	155	253
0	num	0.8432	968	1148
0	number	0.7969	357	448
0	parataxis	0.2321	13	56
0	pcomp	0.8317	173	208
0	pobj	0.7234	2709	3745
0	poss	0.5120	363	709
0	possessive	0.4847	206	425
0	preconj	0.2727	3	11
0	predet	0.2143	3	14
0	prep	0.7462	2823	3783
0	prt	0.9397	109	116
0	quantmod	0.5156	99	192
0	rcmod	0.3690	107	290
0	tmod	0.6189	151	244
0	vmod	0.6134	219	357
0	xcomp	0.7136	284	398
1	acomp	0.9375	45	48
1	advcl	0.0853	25	293
1	advmod	0.6944	886	1276
1	amod	0.7630	1912	2506
1	appos	0.4384	121	276
1	aux	0.7000	868	1240
1	auxpass	0.8427	241	286
1	cc	0.3948	396	1003
1	ccomp	0.4828	267	553
1	conj	0.4856	490	1009
1	cop	0.5970	197	330
1	csubj	0.4000	6	15
1	csubjpass	0.0000	0	1
1	dep	0.4238	239	564
1	det	0.6904	2297	3327
1	discourse	0.2857	2	7
1	dobj	0.7648	1252	1637
1	expl	0.9062	29	32
1	iobj	0.8889	16	18
1	mark	0.4632	195	421
1	mwe	1.0000	51	51
1	neg	0.5377	107	199
1	nn	0.6955	2245	3228
1	npadvmod	0.8466	160	189
1	nsubj	0.7029	1954	2780
1	nsubjpass	0.6601	167	253
1	num	0.8319	955	1148
1	number	0.7321	328	448
1	parataxis	0.1786	10	56
1	pcomp	0.8413	175	208
1	pobj	0.7327	2744	3745
1	poss	0.4767	338	709
1	possessive	0.4706	200	425
1	preconj	0.2727	3	11
1	predet	0.5000	7	14
1	prep	0.7415	2805	3783
1	prt	0.9397	109	116
1	quantmod	0.6094	117	192
1	rcmod	0.3345	97	290
1	tmod	0.5369	131	244
1	vmod	0.6078	217	357
1	xcomp	0.6633	264	398
2	acomp	0.9375	45	48
2	advcl	0.1604	47	293
2	advmod	0.7900	1008	1276
2	amod	0.8691	2178	2506
2	appos	0.6630	183	276
2	aux	0.8774	1088	1240
2	auxpass	0.9371	268	286
2	cc	0.6171	619	1003
2	ccomp	0.7107	393	553
2	conj	0.5114	516	1009
2	cop	0.8030	265	330
2	csubj	0.6667	10	15
2	csubjpass	1.0000	1	1
2	dep	0.5532	312	564
2	det	0.8762	2915	3327
2	discourse	0.5714	4	7
2	dobj	0.8797	1440	1637
2	expl	0.9375	30	32
2	iobj	0.8889	16	18
2	mark	0.6746	284	421
2	mwe	1.0000	51	51
2	neg	0.8040	160	199
2	nn	0.7726	2494	3228
2	npadvmod	0.9048	171	189
2	nsubj	0.8252	2294	2780
2	nsubjpass	0.7945	201	253
2	num	0.9190	1055	1148
2	number	0.8795	394	448
2	parataxis	0.2857	16	56
2	pcomp	0.9231	192	208
2	pobj	0.8766	3283	3745
2	poss	0.6728	477	709
2	possessive	0.6447	274	425
2	preconj	0.3636	4	11
2	predet	0.5000	7	14
2	prep	0.8308	3143	3783
2	prt	0.9569	111	116
2	quantmod	0.5990	115	192
2	rcmod	0.5000	145	290
2	tmod	0.7500	183	244
2	vmod	0.7255	259	357
2	xcomp	0.8643	344	398
3	acomp	0.9583	46	48
3	advcl	0.1502	44	293
3	advmod	0.7962	1016	1276
3	amod	0.8671	2173	2506
3	appos	0.6486	179	276
3	aux	0.8847	1097	1240
3	auxpass	0.9476	271	286
3	cc	0.6401	642	1003
3	ccomp	0.7143	395	553
3	conj	0.5124	517	1009
3	cop	0.7697	254	330
3	csubj	0.7333	11	15
3	csubjpass	1.0000	1	1
3	dep	0.5674	320	564
3	det	0.8852	2945	3327
3	discourse	0.5714	4	7
3	dobj	0.8907	1458	1637
3	expl	0.8750	28	32
3	iobj	0.8333	15	18
3	mark	0.6366	268	421
3	mwe	1.0000	51	51
3	neg	0.7839	156	199
3	nn	0.7735	2497	3228
3	npadvmod	0.9153	173	189
3	nsubj	0.8342	2319	2780
3	nsubjpass	0.8182	207	253
3	num	0.9260	1063	1148
3	number	0.8929	400	448
3	parataxis	0.2500	14	56
3	pcomp	0.9135	190	208
3	pobj	0.8756	3279	3745
3	poss	0.6728	477	709
3	possessive	0.7176	305	425
3	preconj	0.3636	4	11
3	predet	0.5714	8	14
3	prep	0.8345	3157	3783
3	prt	0.9483	110	116
3	quantmod	0.6406	123	192
3	rcmod	0.4793	139	290
3	tmod	0.7623	186	244
3	vmod	0.7395	264	357
3	xcomp	0.8643	344	398
4	acomp	0.9792	47	48
4	advcl	0.1809	53	293
4	advmod	0.7900	1008	1276
4	amod	0.8703	2181	2506
4	appos	0.6848	189	276
4	aux	0.8718	1081	1240
4	auxpass	0.9476	271	286
4	cc	0.6391	641	1003
4	ccomp	0.7414	410	553
4	conj	0.5084	513	1009
4	cop	0.7939	262	330
4	csubj	0.6000	9	15
4	csubjpass	1.0000	1	1
4	dep	0.5479	309	564
4	det	0.8759	2914	3327
4	discourse	0.5714	4	7
4	dobj	0.8870	1452	1637
4	expl	0.9062	29	32
4	iobj	0.8333	15	18
4	mark	0.6366	268	421
4	mwe	1.0000	51	51
4	neg	0.8894	177	199
4	nn	0.7754	2503	3228
4	npadvmod	0.9206	174	189
4	nsubj	0.8442	2347	2780
4	nsubjpass	0.8182	207	253
4	num	0.9190	1055	1148
4	number	0.8951	401	448
4	parataxis	0.2857	16	56
4	pcomp	0.9135	190	208
4	pobj	0.8825	3305	3745
4	poss	0.6827	484	709
4	possessive	0.7035	299	425
4	preconj	0.4545	5	11
4	predet	0.6429	9	14
4	prep	0.8361	3163	3783
4	prt	0.9655	112	116
4	quantmod	0.6406	123	192
4	rcmod	0.4828	140	290
4	tmod	0.7172	175	244
4	vmod	0.7311	261	357
4	xcomp	0.8593	342	398
5	acomp	0.9583	46	48
5	advcl	0.1536	45	293
5	advmod	0.7915	1010	1276
5	amod	0.8755	2194	2506
5	appos	0.6413	177	276
5	aux	0.8726	1082	1240
5	auxpass	0.9615	275	286
5	cc	0.6291	631	1003
5	ccomp	0.7215	399	553
5	conj	0.5183	523	1009
5	cop	0.7727	255	330
5	csubj	0.6000	9	15
5	csubjpass	1.0000	1	1
5	dep	0.5567	314	564
5	det	0.8726	2903	3327
5	discourse	0.5714	4	7
5	dobj	0.8937	1463	1637
5	expl	0.9062	29	32
5	iobj	0.9444	17	18
5	mark	0.6675	281	421
5	mwe	1.0000	51	51
5	neg	0.8693	173	199
5	nn	0.7748	2501	3228
5	npadvmod	0.9048	171	189
5	nsubj	0.8493	2361	2780
5	nsubjpass	0.8340	211	253
5	num	0.9164	1052	1148
5	number	0.8839	396	448
5	parataxis	0.2679	15	56
5	pcomp	0.8990	187	208
5	pobj	0.8841	3311	3745
5	poss	0.6601	468	709
5	possessive	0.7129	303	425
5	preconj	0.3636	4	11
5	predet	0.7143	10	14
5	prep	0.8390	3174	3783
5	prt	0.9569	111	116
5	quantmod	0.6250	120	192
5	rcmod	0.4655	135	290
5	tmod	0.7418	181	244
5	vmod	0.7423	265	357
5	xcomp	0.8618	343	398
6	acomp	0.9583	46	48
6	advcl	0.1775	52	293
6	advmod	0.7955	1015	1276
6	amod	0.8783	2201	2506
6	appos	0.6775	187	276
6	aux	0.8798	1091	1240
6	auxpass	0.9580	274	286
6	cc	0.6321	634	1003
6	ccomp	0.7288	403	553
6	conj	0.5124	517	1009
6	cop	0.7848	259	330
6	csubj	0.7333	11	15
6	csubjpass	1.0000	1	1
6	dep	0.5603	316	564
6	det	0.8774	2919	3327
6	discourse	0.5714	4	7
6	dobj	0.8949	1465	1637
6	expl	0.9062	29	32
6	iobj	0.8333	15	18
6	mark	0.6675	281	421
6	mwe	1.0000	51	51
6	neg	0.8593	171	199
6	nn	0.7782	2512	3228
6	npadvmod	0.9101	172	189
6	nsubj	0.8504	2364	2780
6	nsubjpass	0.8379	212	253
6	num	0.9172	1053	1148
6	number	0.8929	400	448
6	parataxis	0.2857	16	56
6	pcomp	0.9183	191	208
6	pobj	0.8903	3334	3745
6	poss	0.6728	477	709
6	possessive	0.7059	300	425
6	preconj	0.3636	4	11
6	predet	0.7143	10	14
6	prep	0.8395	3176	3783
6	prt	0.9655	112	116
6	quantmod	0.6094	117	192
6	rcmod	0.4724	137	290
6	tmod	0.7541	184	244
6	vmod	0.7563	270	357
6	xcomp	0.8693	346	398
7	acomp	0.9583	46	48
7	advcl	0.1809	53	293
7	advmod	0.7962	1016	1276
7	amod	0.8787	2202	2506
7	appos	0.6920	191	276
7	aux	0.8815	1093	1240
7	auxpass	0.9615	275	286
7	cc	0.6361	638	1003
7	ccomp	0.7324	405	553
7	conj	0.5134	518	1009
7	cop	0.7818	258	330
7	csubj	0.7333	11	15
7	csubjpass	1.0000	1	1
7	dep	0.5603	316	564
7	det	0.8804	2929	3327
7	discourse	0.5714	4	7
7	dobj	0.8968	1468	1637
7	expl	0.9062	29	32
7	iobj	0.8333	15	18
7	mark	0.6603	278	421
7	mwe	1.0000	51	51
7	neg	0.8492	169	199
7	nn	0.7788	2514	3228
7	npadvmod	0.9101	172	189
7	nsubj	0.8478	2357	2780
7	nsubjpass	0.8379	212	253
7	num	0.9172	1053	1148
7	number	0.8951	401	448
7	parataxis	0.2857	16	56
7	pcomp	0.9135	190	208
7	pobj	0.8908	3336	3745
7	poss	0.6756	479	709
7	possessive	0.7059	300	425
7	preconj	0.3636	4	11
7	predet	0.7143	10	14
7	prep	0.8380	3170	3783
7	prt	0.9655	112	116
7	quantmod	0.6042	116	192
7	rcmod	0.4862	141	290
7	tmod	0.7541	184	244
