epoch	train_loss	dev_loss	dev_uuas
0	1.019567	0.967064	0.6204
1	0.985967	0.975824	0.6107
2	0.876243	0.852929	0.7323
3	0.854238	0.847085	0.7339
4	0.850722	0.846840	0.7353
5	0.849204	0.843993	0.7341
6	0.848350	0.845008	0.7350
7	0.835053	0.835824	0.7419
8	0.832278	0.834817	0.7422
9	0.831657	0.834322	0.7412
10	0.831338	0.834187	0.7411
11	0.831181	0.834234	0.7413
12	0.829090	0.833826	0.7412
13	0.828980	0.833844	0.7415
14	0.828691	0.833835	0.7414
15	0.828660	0.833833	0.7414
16	0.828660	0.833833	0.7413
17	0.828660	0.833832	0.7413
