epoch	train_loss	dev_loss	dev_uuas
0	0.966476	0.942211	0.6443
1	0.949497	0.955468	0.6343
2	0.818198	0.786901	0.7943
3	0.795265	0.781846	0.7976
4	0.791781	0.779301	0.7992
5	0.790519	0.780522	0.7976
6	0.774661	0.768189	0.8029
7	0.771278	0.767272	0.8054
8	0.770486	0.766686	0.8044
9	0.770145	0.765904	0.8053
10	0.769881	0.766495	0.8045
11	0.767610	0.765761	0.8049
12	0.767362	0.765585	0.8048
13	0.767283	0.765534	0.8047
14	0.766964	0.765509	0.8048
15	0.766952	0.765495	0.8047
16	0.766918	0.765494	0.8047
17	0.766916	0.765494	0.8047
