epoch	relation	uuas	correct	total
0	acomp	0.0208	1	48
0	advcl	0.1024	30	293
0	advmod	0.0815	104	1276
0	amod	0.1097	275	2506
0	appos	0.1812	50	276
0	aux	0.0653	81	1240
0	auxpass	0.0559	16	286
0	cc	0.0618	62	1003
0	ccomp	0.0796	44	553
0	conj	0.1288	130	1009
0	cop	0.1000	33	330
0	csubj	0.2000	3	15
0	csubjpass	0.0000	0	1
0	dep	0.1170	66	564
0	det	0.0712	237	3327
0	discourse	0.0000	0	7
0	dobj	0.0727	119	1637
0	expl	0.1250	4	32
0	iobj	0.0000	0	18
0	mark	0.0641	27	421
0	mwe	0.0392	2	51
0	neg	0.2060	41	199
0	nn	0.1180	381	3228
0	npadvmod	0.0423	8	189
0	nsubj	0.1032	287	2780
0	nsubjpass	0.1423	36	253
0	num	0.0923	106	1148
0	number	0.1272	57	448
0	parataxis	0.1071	6	56
0	pcomp	0.0769	16	208
0	pobj	0.0638	239	3745
0	poss	0.0578	41	709
0	possessive	0.2706	115	425
0	preconj	0.1818	2	11
0	predet	0.0000	0	14
0	prep	0.0502	190	3783
0	prt	0.0862	10	116
0	quantmod	0.0729	14	192
0	rcmod	0.0897	26	290
0	tmod	0.0656	16	244
0	vmod	0.0644	23	357
0	xcomp	0.0905	36	398
1	acomp	0.0833	4	48
1	advcl	0.0819	24	293
1	advmod	0.0737	94	1276
1	amod	0.1141	286	2506
1	appos	0.1884	52	276
1	aux	0.0460	57	1240
1	auxpass	0.0524	15	286
1	cc	0.0698	70	1003
1	ccomp	0.0561	31	553
1	conj	0.1427	144	1009
1	cop	0.1000	33	330
1	csubj	0.2000	3	15
1	csubjpass	0.0000	0	1
1	dep	0.0957	54	564
1	det	0.0610	203	3327
1	discourse	0.0000	0	7
1	dobj	0.0666	109	1637
1	expl	0.1250	4	32
1	iobj	0.0000	0	18
1	mark	0.0736	31	421
1	mwe	0.0588	3	51
1	neg	0.2312	46	199
1	nn	0.1174	379	3228
1	npadvmod	0.0529	10	189
1	nsubj	0.1072	298	2780
1	nsubjpass	0.0949	24	253
1	num	0.0697	80	1148
1	number	0.0938	42	448
1	parataxis	0.1250	7	56
1	pcomp	0.0529	11	208
1	pobj	0.0630	236	3745
1	poss	0.0719	51	709
1	possessive	0.2235	95	425
1	preconj	0.0909	1	11
1	predet	0.0714	1	14
1	prep	0.0531	201	3783
